,ID,WMO_CODE,NAME_EN,Region,Latitude,Longitude,00Z,01Z,02Z,03Z,04Z,05Z,06Z,07Z,08Z,09Z,10Z,11Z,12Z,13Z,14Z,15Z,16Z,17Z,18Z,19Z,20Z,21Z,22Z,23Z,sum,year,month,day
0,1,300,Mae Hong Son,Northern,19.29897222,97.97577778,-,-,-,-,-,-,-,-,-,-,-,-,-,2.1619510650634766,0.2907896935939789,-,-,-,-,-,-,-,-,-,2.4527406692504883,2022,09,22
1,2,325,Mae Sariang,Northern,18.16666667,97.93333333,-,-,-,-,-,-,-,-,-,-,1.955876111984253,0.6829712390899658,0.03430585935711861,-,-,-,-,-,-,-,-,-,-,-,2.6731531620025635,2022,09,22
2,3,303,Chiang Rai,Northern,19.96138889,99.88138889,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.04075557366013527,-,0.2527743875980377,0.0947200208902359,-,-,13.391961097717285,11.671117782592773,25.45132827758789,2022,09,22
3,4,304,Chiang Rai (1),Northern,19.87083333,99.78277778,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.04472168907523155,0.24479182064533234,0.1655287742614746,-,-,1.1214407682418823,5.4757771492004395,7.052260398864746,2022,09,22
4,5,310,Phayao,Northern,19.13333333,99.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.06680060923099518,-,-,-,-,12.563243865966797,16.06718635559082,28.69723129272461,2022,09,22
5,6,327,Chiang Mai,Northern,18.79,98.97694444,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.030930764973163605,0.046181779354810715,-,-,-,-,-,-,0.07711254060268402,2022,09,22
6,7,302,Doi Angkhlang,Northern,19.93138889,99.04833333,-,0.8038660883903503,0.05702899768948555,-,-,0.8038660883903503,0.05702899768948555,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.628119707107544,2.447643518447876,-,4.797553062438965,2022,09,22
7,8,331,Nan,Northern,18.77972222,100.7777778,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.02854827791452408,-,-,-,-,2.0748164653778076,4.022764205932617,0.5289362072944641,-,-,6.655065536499023,2022,09,22
8,9,333,Nan (1),Northern,18.86666667,100.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.03563758358359337,-,-,-,-,2.369818687438965,3.03478741645813,0.42137306928634644,-,-,5.861616611480713,2022,09,22
9,10,315,Tha Wang Pha (2),Northern,19.11055556,100.8025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.03162539750337601,-,-,-,0.9594509601593018,2.570467948913574,1.19855535030365,0.09484279155731201,0.6500454545021057,0.28093022108078003,5.785918235778809,2022,09,22
10,11,307,Thung Chang (2),Northern,19.41194444,100.8835278,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.3255022764205933,2.254709005355835,-,0.11504676938056946,-,3.6952579021453857,2022,09,22
11,12,329,Lamphun,Northern,18.56666667,99.03333333,-,-,-,1.1408395767211914,0.05028937757015228,-,-,1.1408395767211914,0.05028937757015228,-,-,-,-,-,-,-,-,0.09532751888036728,-,-,-,-,-,-,2.477585554122925,2022,09,22
