,ID,WMO_CODE,NAME_EN,Region,Latitude,Longitude,00Z,01Z,02Z,03Z,04Z,05Z,06Z,07Z,08Z,09Z,10Z,11Z,12Z,13Z,14Z,15Z,16Z,17Z,18Z,19Z,20Z,21Z,22Z,23Z,sum,year,month,day
0,1,300,Mae Hong Son,Northern,19.29897222,97.97577778,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,05,15
1,2,325,Mae Sariang,Northern,18.16666667,97.93333333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,05,15
2,3,303,Chiang Rai,Northern,19.96138889,99.88138889,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,05,15
3,4,304,Chiang Rai (1),Northern,19.87083333,99.78277778,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,05,15
4,5,310,Phayao,Northern,19.13333333,99.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2204209566116333,1.9501574039459229,2.861727714538574,2.6989216804504395,1.5531864166259766,0.41400769352912903,0.11185367405414581,9.81027603149414,2022,05,15
5,6,327,Chiang Mai,Northern,18.79,98.97694444,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,05,15
6,7,302,Doi Angkhlang,Northern,19.93138889,99.04833333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,05,15
7,8,331,Nan,Northern,18.77972222,100.7777778,-,-,-,-,-,-,-,-,-,-,-,-,-,0.052864689379930496,-,-,-,2.462559700012207,6.007688045501709,7.503823280334473,8.57882022857666,7.783116340637207,4.3172831535339355,0.9609412550926208,37.66709518432617,2022,05,15
8,9,333,Nan (1),Northern,18.86666667,100.75,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0434468612074852,-,-,-,5.712668418884277,8.86116886138916,9.748879432678223,10.538972854614258,9.275273323059082,4.01753568649292,0.6922511458396912,48.890193939208984,2022,05,15
9,10,315,Tha Wang Pha (2),Northern,19.11055556,100.8025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.469308853149414,2.5236337184906006,1.9442576169967651,3.289896011352539,4.266547679901123,2.633969783782959,0.831871509552002,17.95948600769043,2022,05,15
10,11,307,Thung Chang (2),Northern,19.41194444,100.8835278,0.020981187000870705,-,-,-,-,-,-,-,-,-,4.1335978507995605,0.33186161518096924,2.066270589828491,-,-,-,-,-,-,-,-,-,-,-,6.573692798614502,2022,05,15
11,12,329,Lamphun,Northern,18.56666667,99.03333333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,05,15
12,13,328,Lampang,Northern,18.33333333,99.51666667,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,05,15
13,14,334,Lampang (1),Northern,18.31666667,99.28333333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,05,15
14,15,324,Thoen,Northern,17.63661111,99.24475,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.6780985593795776,3.3237898349761963,-,-,-,-,-,-,-,-,5.001888275146484,2022,05,15
15,16,330,Phrae,Northern,18.16666667,100.1666667,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,05,15
16,17,351,Uttaradit,Northern,17.61666667,100.1000028,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.9497123956680298,2.9718399047851562,4.561655521392822,4.5851054191589355,4.4537482261657715,0.7601909637451172,0.40487638115882874,19.687129974365234,2022,05,15
17,18,372,Sukhothai,Northern,17.10611111,99.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.6734411716461182,-,-,6.250153064727783,6.279199600219727,3.855480194091797,0.6320965886116028,18.690370559692383,2022,05,15
18,19,373,Si Samrong (1),Northern,17.77361111,99.24944444,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0980161428451538,-,-,-,-,-,-,-,-,-,-,1.0980161428451538,2022,05,15
