ชื่อสถานี,ที่ตั้ง,เวลา,ฝนล่าสุด (มม.)
สถานีบ้านปางมะกง,ต.ปิงโค้ง อ.เชียงดาว จ.เชียงใหม่ ,06:00 ,78.5
สถานีบ้านแม่สุ,ต.แม่ลาหลวง อ.แม่ลาน้อย จ.แม่ฮ่องสอน ,06:00 ,68.5
สถานีบ้านฮากไม้เหนือ,ต.ป่าแป๋ อ.แม่สะเรียง จ.แม่ฮ่องสอน ,23:00 ,68.5
สถานีบ้านดูลาเปอร์,ต.ห้วยห้อม อ.แม่ลาน้อย จ.แม่ฮ่องสอน ,21:00 ,67
สถานีทต.น้ำยืน,ต.สีวิเชียร อ.น้ำยืน จ.อุบลราชธานี ,06:00 ,64.4
สถานีแม่น้ำชี บ้านหินกอง,ต.โนนสมบูรณ์ อ.บ้านแฮด จ.ขอนแก่น ,05:00 ,64
สถานีลำพะเนียง อ.เมือง,ต.หนองบัว อ.เมืองหนองบัวลำภู จ.หนองบัวลำภู ,05:00 ,61
สถานีบ้านท่าหินส้ม,ต.เมืองปอน อ.ขุนยวม จ.แม่ฮ่องสอน ,06:00 ,60.5
สถานีพิษณุโลก,ต.อรัญญิก อ.เมืองพิษณุโลก จ.พิษณุโลก ,04:00 ,59.8
สถานีอบต.นากอก,ต.นากอก อ.ศรีบุญเรือง จ.หนองบัวลำภู ,06:00 ,58.4
สถานีบ้านวังยาวใหญ่,ต.นาหนองทุ่ม อ.ชุมแพ จ.ขอนแก่น ,06:00 ,57.5
สถานีอบต.ขัวก่าย,ต.ขัวก่าย อ.วานรนิวาส จ.สกลนคร ,06:00 ,57.4
สถานีบ้านห้วยหมากหนุน,ต.ท่าผาปุ้ม อ.แม่ลาน้อย จ.แม่ฮ่องสอน ,00:00 ,57
สถานีมหาสารคาม,ต.หัวขวาง อ.โกสุมพิสัย จ.มหาสารคาม ,04:00 ,56.8
สถานีลำน้ำพอง (เหนือฝายหนองหวาย),ต.กุดน้ำใส อ.น้ำพอง จ.ขอนแก่น ,05:00 ,56
สถานีบ้านนาเวียง,ต.วังชิ้น อ.วังชิ้น จ.แพร่ ,06:00 ,55.5
สถานีบ้านห้วยกุ้ง,ต.ป่าโปง อ.สบเมย จ.แม่ฮ่องสอน ,06:00 ,55.5
สถานีอบต.ท่าสะอาด,ต.ท่าสะอาด อ.นาด้วง จ.เลย ,06:00 ,54.8
สถานีอบต.นาโป่ง,ต.นาโป่ง อ.เถิน จ.ลำปาง ,06:00 ,54.2
