ชื่อสถานี,ที่ตั้ง,เวลา,ฝนล่าสุด (มม.)
บ้านหัวบุ่ง,ต.เนินหอม อ.เมืองปราจีนบุรี จ.ปราจีนบุรี,19:00 น.,146.5
ตราด,ต.คลองใหญ่ อ.คลองใหญ่ จ.ตราด,04:00 น.,122
ตาดโตน,ต.นาฝาย อ.เมืองชัยภูมิ จ.ชัยภูมิ,06:00 น.,107.6
ขอนแก่น,ต.บ้านเป็ด อ.เมืองขอนแก่น จ.ขอนแก่น,04:00 น.,107.6
บ้านท่ามะปราง,ต.นาหินลาด อ.ปากพลี จ.นครนายก,18:00 น.,105.5
บ้านย่านยาว,ต.เชี่ยวเหลียง อ.กะเปอร์ จ.ระนอง,05:00 น.,105.5
บ้านงอมถ้ำ,ต.ท่าแฝก อ.ท่าปลา จ.อุตรดิตถ์,00:00 น.,104
อบต.ท่าแฝก,ต.ท่าแฝก อ.ท่าปลา จ.อุตรดิตถ์,06:00 น.,103.6
บ้านตะเคียนงาม,ต.บางหิน อ.กะเปอร์ จ.ระนอง,05:00 น.,101
อบต.ไม้รูด,ต.ไม้รูด อ.คลองใหญ่ จ.ตราด,06:00 น.,100.2
บ้านนาปอ,ต.แสงภา อ.นาแห้ว จ.เลย,05:00 น.,98.5
อบต.บางหิน,ต.บางหิน อ.กะเปอร์ จ.ระนอง,06:00 น.,90.2
ระนอง,ต.บางนอน อ.เมืองระนอง จ.ระนอง,04:00 น.,87.1
เมืองชัยภูมิ,ต.บ้านค่าย อ.เมืองชัยภูมิ จ.ชัยภูมิ,06:00 น.,84.2
อบต.ศรีละกอ,ต.ศรีละกอ อ.จักราช จ.นครราชสีมา,06:00 น.,81.8
อบต.บางปิด,ต.บางปิด อ.แหลมงอบ จ.ตราด,06:00 น.,81.6
บ้านแม่ตูบ,ต.โปงทุ่ง อ.ดอยเต่า จ.เชียงใหม่,05:00 น.,80.5
อบต.ชนแดน,ต.ชนแดน อ.ชนแดน จ.เพชรบูรณ์,06:00 น.,78.6
บ้านกิ่วเคียน,ต.จริม อ.ท่าปลา จ.อุตรดิตถ์,23:00 น.,78.5
บ้านหลังเขา,ต.หนองกะท้าว อ.นครไทย จ.พิษณุโลก,05:00 น.,78.5
สะพานบ้านตรังพัฒนา,ต.พะโต๊ะ อ.พะโต๊ะ จ.ชุมพร,06:00 น.,78
ทม.ระนอง,ต.เขานิเวศน์ อ.เมืองระนอง จ.ระนอง,06:00 น.,77.6
บ้านควน,ต.พะโต๊ะ อ.พะโต๊ะ จ.ชุมพร,05:00 น.,77.5
หนองบัวระเหว,ต.หนองบัวระเหว อ.หนองบัวระเหว จ.ชัยภูมิ,06:00 น.,74.4
อบต.วังงิ้ว,ต.วังงิ้ว อ.ดงเจริญ จ.พิจิตร,06:00 น.,73.4
ตำบลซับสมบูรณ์,ต.ซับสมบูรณ์ อ.วิเชียรบุรี จ.เพชรบูรณ์,06:00 น.,72.8
บ้านสลักเพชรเหนือ,ต.เกาะช้างใต้ อ.เกาะช้าง จ.ตราด,05:00 น.,72.5
เปร็ดใน,ต.ห้วงน้ำขาว อ.เมืองตราด จ.ตราด,06:00 น.,71.8
ทต.ปากน้ำ,ต.ปากน้ำ อ.เมืองระนอง จ.ระนอง,06:00 น.,71.6
บ้านในแจะ,ต.พะโต๊ะ อ.พะโต๊ะ จ.ชุมพร,05:00 น.,70.5
บ้านนาพรุ,ต.นาคา อ.สุขสำราญ จ.ระนอง,05:00 น.,69.5
หน่วยศึกษาการพัฒนาการอนุรักษ์ต้นน้ำแม่ถาง,ต.น้ำเลา อ.ร้องกวาง จ.แพร่,06:00 น.,69
ทต.เกาะช้าง,ต.เกาะช้าง อ.เกาะช้าง จ.ตราด,06:00 น.,66.2
บ้านน้ำพร้า,ต.นางพญา อ.ท่าปลา จ.อุตรดิตถ์,04:00 น.,66
ทต.เมืองคง,ต.เมืองคง อ.คง จ.นครราชสีมา,06:00 น.,65.4
ยอดเขาหลวง (อุทยานแห่งชาติรามคำแหง),ต.ศรีคีรีมาศ อ.คีรีมาศ จ.สุโขทัย,06:00 น.,64.6
บ้านคลองกระท้อน,ต.บางบุตร อ.บ้านค่าย จ.ระยอง,05:00 น.,62.5
อบต.ด่านชุมพล,ต.ด่านชุมพล อ.บ่อไร่ จ.ตราด,06:00 น.,61.6
บ้านห้วยน้ำไซ,ต.เนินเพิ่ม อ.นครไทย จ.พิษณุโลก,05:00 น.,61.5
บ้านคลองราง,ต.พระรักษ์ อ.พะโต๊ะ จ.ชุมพร,05:00 น.,61.5
ท่าพระ สกษ.,ต.ท่าพระ อ.เมืองขอนแก่น จ.ขอนแก่น,04:00 น.,61.2
หน่วยพิทักษ์ป่าน้ำสาว,ต.ขุนควร อ.ปง จ.พะเยา,06:00 น.,60.8
