ชื่อสถานี,ที่ตั้ง,เวลา,ฝนล่าสุด (มม.)
สถานีโรงเรียนวัดโคกโพธิ์สถิตย์,ต.กำโลน อ.ลานสกา จ.นครศรีธรรมราช ,06:00 ,160.8
สถานีบ้านท่านหญิง,ต.ตะกุกเหนือ อ.วิภาวดี จ.สุราษฎร์ธานี ,01:00 ,108
สถานีฉวาง,ต.ไม้เรียง อ.ฉวาง จ.นครศรีธรรมราช ,04:00 ,101
สถานีบ้านหนองแวง,ต.ไทรเดี่ยว อ.คลองหาด จ.สระแก้ว ,06:00 ,95.5
สถานีบ้านเหนือคลอง,ต.ทุ่งโพธิ์ อ.จุฬาภรณ์ จ.นครศรีธรรมราช ,06:00 ,80
สถานีบ้านซับแม็ก,ต.หนองน้ำใส อ.วัฒนานคร จ.สระแก้ว ,06:00 ,77
สถานีทต.บูเก๊ะตา,ต.โละจูด อ.แว้ง จ.นราธิวาส ,06:00 ,71.8
สถานีพัทลุง สกษ.,ต.ลำปำ อ.เมืองพัทลุง จ.พัทลุง ,04:00 ,71.3
สถานีอบต.ตะปาน,ต.ตะปาน อ.พุนพิน จ.สุราษฎร์ธานี ,06:00 ,70.4
สถานีอบต.ยะรม,ต.ยะรม อ.เบตง จ.ยะลา ,06:00 ,67.8
สถานีหน่วยจัดการต้นน้ำตาปี,ต.ตะกุกใต้ อ.วิภาวดี จ.สุราษฎร์ธานี ,06:00 ,67.4
สถานีโป่งน้ำร้อน,ต.หนองตาคง อ.โป่งน้ำร้อน จ.จันทบุรี ,06:00 ,67.4
สถานีบ้านห้วยกลาง,ต.กะทูน อ.พิปูน จ.นครศรีธรรมราช ,06:00 ,66.5
สถานีบ้านกลาง,ต.ละมอ อ.นาโยง จ.ตรัง ,06:00 ,65.5
สถานีบ้านกอบแก้ววัฒนาภิบาล,ต.ลำพูน อ.บ้านนาสาร จ.สุราษฎร์ธานี ,05:00 ,65.5
สถานีบ้านปะตงล่าง (เขาสอยดาว),ต.ทรายขาว อ.สอยดาว จ.จันทบุรี ,06:00 ,61
สถานีไร่ วงศ์ ทอง เมฆ ดี,ต.ที่วัง อ.ทุ่งสง จ.นครศรีธรรมราช ,06:00 ,60.2
สถานีอบต.นายายอาม,ต.นายายอาม อ.นายายอาม จ.จันทบุรี ,06:00 ,56.6
สถานีเขตรักษาพันธุ์สัตว์ป่าเขาสอยดาว,ต.ทรายขาว อ.สอยดาว จ.จันทบุรี ,06:00 ,55.2
สถานีบ้านไสใหญ่เหนือ,ต.ถ้ำใหญ่ อ.ทุ่งสง จ.นครศรีธรรมราช ,06:00 ,55
สถานีบ้านวัด,ต.ประกอบ อ.นาทวี จ.สงขลา ,06:00 ,55
สถานีเทศบาลตำบลปะแต,ต.ปะแต อ.ยะหา จ.ยะลา ,06:00 ,54.6
สถานีบ้านย่านอุดม,ต.ทุ่งไทรทอง อ.ลำทับ จ.กระบี่ ,05:00 ,54.5
สถานีบ้านควนไม้ไผ่,ต.นาหว้า อ.จะนะ จ.สงขลา ,06:00 ,54
สถานีสะพานกะลูบี บ้านสายปารี,ต.มาโมง อ.สุคิริน จ.นราธิวาส ,06:00 ,52.6
สถานีบ้านหินลับ,ต.มวกเหล็ก อ.มวกเหล็ก จ.สระบุรี ,06:00 ,52.5
สถานีทม.วังน้ำเย็น,ต.วังน้ำเย็น อ.วังน้ำเย็น จ.สระแก้ว ,06:00 ,51.8
สถานีคลองปะแต,ต.ปะแต อ.ยะหา จ.ยะลา ,06:00 ,50.8
สถานีบ้านหน้าซึง,ต.ปากฉลุย อ.ท่าฉาง จ.สุราษฎร์ธานี ,05:00 ,50.5
สถานีคลองสุงบบารู หมู่ที่ 4,ต.คลองใหม่ อ.ยะรัง จ.ปัตตานี ,06:00 ,49.8
สถานีรพสต.บ้านลำกะ,ต.ชุมพล อ.ศรีนครินทร์ จ.พัทลุง ,06:00 ,49
สถานีบ้านหนองกะโตวา,ต.ปากช่อง อ.ปากช่อง จ.นครราชสีมา ,06:00 ,47.5
สถานีฉะเชิงเทรา,ต.แปลงยาว อ.สนามชัยเขต จ.ฉะเชิงเทรา ,04:00 ,47.3
สถานีสะพานทางเข้าชุมชนบ้านปากซวด,ต.พังกาญจน์ อ.พนม จ.สุราษฎร์ธานี ,06:00 ,47.2
