ชื่อสถานี,ที่ตั้ง,เวลา,ฝนล่าสุด (มม.),lat,long
บ้านไตรสภาวคาม,ต.ปิงโค้ง อ.เชียงดาว จ.เชียงใหม่,09:00 น.,96,19.42965621679668,98.9790004491806
บ้านวังสมบูรณ์,ต.เขาปูน อ.ห้วยยอด จ.ตรัง,11:00 น.,63.5,7.77448010965501,99.7040069103241
ท้ายเขื่อนรัชชประภา,ต.เขาพัง อ.บ้านตาขุน จ.สุราษฎร์ธานี,11:00 น.,55,8.961749980069568,98.81437182426453
บ้านโคกแมว,ต.โคกม่วง อ.เขาชัยสน จ.พัทลุง,11:00 น.,51,7.387151859597437,100.07200062274933
อบต.ป่าแก่บ่อหิน,ต.ป่าแก่บ่อหิน อ.ทุ่งหว้า จ.สตูล,12:00 น.,47,7.056419899956487,99.80188071727753
อบต.บ้านเสด็จ,ต.บ้านเสด็จ อ.เคียนซา จ.สุราษฎร์ธานี,12:00 น.,46.4,8.763590476449355,99.0646380186081
อบต.คลองศก,ต.คลองศก อ.พนม จ.สุราษฎร์ธานี,12:00 น.,44.2,8.890472370265089,98.661367893219
บ้านบางบอน,ต.คลองศก อ.พนม จ.สุราษฎร์ธานี,11:00 น.,42,8.883524046532198,98.6518943309784
สะพานท่าสำเภา,ต.ชัยบุรี อ.เมืองพัทลุง จ.พัทลุง,12:00 น.,39,7.729607562509329,100.10796368122101
บ้านดอนกระจาย,ต.วังตะกอ อ.หลังสวน จ.ชุมพร,11:00 น.,37,9.974857807984526,99.04269754886627
อุทยานแห่งชาติภูผาม่าน,ต.นาหนองทุ่ม อ.ชุมแพ จ.ขอนแก่น,12:00 น.,35.6,16.758271169622347,101.96871936321259
บ้านห้วยตาสิงห์,ต.บ้านควน อ.หลังสวน จ.ชุมพร,11:00 น.,35,9.832652549965665,99.02099847793579
เขื่อนสิรินธร,ต.นิคมสร้างตนเอง อ.สิรินธร จ.อุบลราชธานี,11:00 น.,35,15.218301105532507,105.42277157306671
บ้านดินดอน,ต.ท่าดี อ.ลานสกา จ.นครศรีธรรมราช,11:00 น.,34.5,8.403846109348725,99.81800079345703
ทต.ตะเคียนทอง,ต.ตะเคียนทอง อ.เขาคิชฌกูฏ จ.จันทบุรี,12:00 น.,31.2,12.91309226798377,102.08152770996094
บ้านโล๊ะจังกระ,ต.คลองเฉลิม อ.กงหรา จ.พัทลุง,11:00 น.,29.5,7.330097648791823,99.9839973449707
มัสยิดกาวมินมูฮายีริน,ต.ปาล์มพัฒนา อ.มะนัง จ.สตูล,12:00 น.,28.4,7.088324249082689,100.00195741653442
รร.บ้านลำปลอกเหนือ,ต.ในควน อ.ย่านตาขาว จ.ตรัง,12:00 น.,27.8,7.354901490150456,99.81480896472931
ทต.ห้วยยอด,ต.ห้วยยอด อ.ห้วยยอด จ.ตรัง,12:00 น.,27.6,7.789128295093799,99.63350772857666
หน่วยจัดการต้นน้ำคลองป่าพรุพ้อ,ต.ทุ่งนารี อ.ป่าบอน จ.พัทลุง,12:00 น.,27,7.162175415979863,100.0845319032669
บ้านนบ,ต.กรุงชิง อ.นบพิตำ จ.นครศรีธรรมราช,11:00 น.,26.5,8.792717371820691,99.7029983997345
อบต.วังน้ำเขียว,ต.วังน้ำเขียว อ.วังน้ำเขียว จ.นครราชสีมา,12:00 น.,26.2,14.374445554998045,101.86512172222137
ชลบุรี,ต.บางปลาสร้อย อ.เมืองชลบุรี จ.ชลบุรี,10:00 น.,24.3,13.366667087657337,100.98333477973938
