ชื่อสถานี,ที่ตั้ง,เวลา,ฝนล่าสุด (มม.),lat,long
บ้านถ้ำเวียงแก,ต.นาไร่หลวง อ.สองแคว จ.น่าน,23:00 น.,2.5,19.31020677073872,100.75100183486938
บ้านวังไผ่,ต.นาไร่หลวง อ.สองแคว จ.น่าน,23:00 น.,3.5,19.374717209261174,100.64399778842926
บ้านก่อก๋วง,ต.บ่อเกลือใต้ อ.บ่อเกลือ จ.น่าน,23:00 น.,178.5,19.181043719488734,101.12100183963776
บ้านน้ำพัน,ต.นาไร่หลวง อ.สองแคว จ.น่าน,23:00 น.,2,19.293782784292194,100.68600118160248
บ้านปางส้าน,ต.ยอด อ.สองแคว จ.น่าน,23:00 น.,1.5,19.4317101253703,100.60400068759918
อบต.นาไร่หลวง,ต.นาไร่หลวง อ.สองแคว จ.น่าน,00:00 น.,16,19.3670552403937,100.70083916187286
บ้านน้ำมีด,ต.เปือ อ.เชียงกลาง จ.น่าน,23:00 น.,1.5,19.33316417243506,100.83400011062622
จุดชมวิว 1715,ต.ภูคา อ.ปัว จ.น่าน,00:00 น.,2.6,19.17482180172219,101.10614240169525
บ้านสองแคว,ต.นาไร่หลวง อ.สองแคว จ.น่าน,23:00 น.,12,19.35703948158903,100.70699751377106
บ้านงอบเหนือ,ต.งอบ อ.ทุ่งช้าง จ.น่าน,23:00 น.,2.5,19.485188570403565,100.89699983596802
สำนักงานป้องกันและบรรเทาสาธารณภัย ทต.เชียงกลาง,ต.เชียงกลาง อ.เชียงกลาง จ.น่าน,00:00 น.,0.8,19.28753475656827,100.85815072059631
บ้านสว้านเหนือ,ต.ดงพญา อ.บ่อเกลือ จ.น่าน,23:00 น.,106,19.23526274448346,101.19100213050842
บ้านภูคำ,ต.งอบ อ.ทุ่งช้าง จ.น่าน,23:00 น.,7.5,19.484000127310885,100.86000144481659
บ้านขุนน้ำพริก,ต.นาไร่หลวง อ.สองแคว จ.น่าน,23:00 น.,1,19.3327389698533,100.67299783229828
บ้านน้ำสอด,ต.และ อ.ทุ่งช้าง จ.น่าน,23:00 น.,202,19.448828383100253,100.82900047302246
บ้านห้วยขวาก,ต.บ่อเกลือเหนือ อ.บ่อเกลือ จ.น่าน,20:00 น.,102,19.347969603395615,101.14199817180634
หน่วยจัดการต้นน้ำขุนว้า,ต.ดงพญา อ.บ่อเกลือ จ.น่าน,00:00 น.,4.2,19.23685312903414,101.18393182754517
บ้านปางสา,ต.ผาทอง อ.ท่าวังผา จ.น่าน,23:00 น.,1.5,19.230947357099716,100.75199961662292
บ้านส้อ,ต.เปือ อ.เชียงกลาง จ.น่าน,23:00 น.,0.5,19.30815639392614,100.84800124168396
บ้านน้ำดั้น,ต.ภูคา อ.ปัว จ.น่าน,23:00 น.,6.5,19.187083011536927,101.07699751853943
สะพานแม่น้ำน่าน บ้านเปียงก่อ,ต.ขุนน่าน อ.เฉลิมพระเกียรติ จ.น่าน,00:00 น.,0.4,19.432099655746182,101.15272164344788
สะพานน้ำยาว บ้านสองแคว,ต.นาไร่หลวง อ.สองแคว จ.น่าน,00:00 น.,1.6,19.35672062775631,100.70646643638611
สะพานน้ำกอน บ้านพญาแก้ว,ต.พญาแก้ว อ.เชียงกลาง จ.น่าน,00:00 น.,1.4,19.286117018232705,100.90128064155579
หมู่บ้านปิยะมิตร 3,ต.อัยเยอร์เวง อ.เบตง จ.ยะลา,22:00 น.,0.6,5.934226092018083,101.1087441444397
อบต.วัดโบสถ์,ต.วัดโบสถ์ อ.วัดโบสถ์ จ.พิษณุโลก,12:00 น.,7.8,16.9581690842545,100.33734619617462
บ้านน้ำกิใต้,ต.ผาทอง อ.ท่าวังผา จ.น่าน,23:00 น.,9.5,19.220472446308232,100.64700186252594
อบต.บ้านผึ้ง,ต.บ้านผึ้ง อ.เมืองนครพนม จ.นครพนม,11:00 น.,0.2,17.351483226515846,104.62038338184357
ชุมชนบ้านเหมือง,ต.อัยเยอร์เวง อ.เบตง จ.ยะลา,22:00 น.,0.4,5.923805427155755,101.12602293491364
หน่วยจัดการต้นน้ำขุนน่าน,ต.บ่อเกลือเหนือ อ.บ่อเกลือ จ.น่าน,00:00 น.,6.4,19.34819230734305,101.17510199546814
สะพานข้ามคลองหวาด,ต.คลองสระ อ.กาญจนดิษฐ์ จ.สุราษฎร์ธานี,00:00 น.,3.2,8.935932666086208,99.60874021053314
อบต.ป่าแดง,ต.ป่าแดง อ.ชาติตระการ จ.พิษณุโลก,11:00 น.,5.4,17.262219825086234,100.5762505531311
นครพนม สกษ.,ต.ในเมือง อ.เมืองนครพนม จ.นครพนม,22:00 น.,0.3,17.443057371476723,104.77361261844635
อุทยานแห่งชาติดอยภูคา,ต.ภูคา อ.ปัว จ.น่าน,00:00 น.,5.8,19.203983744992335,101.07766270637512
บ้านสลี*,ต.และ อ.ทุ่งช้าง จ.น่าน,23:00 น.,3,19.405133792706202,100.88099777698517
สุรินทร์,ต.ในเมือง อ.เมืองสุรินทร์ จ.สุรินทร์,22:00 น.,9.8,14.88333203516152,103.49999785423279
บ้านน้ำแคะ,ต.ดงพญา อ.บ่อเกลือ จ.น่าน,23:00 น.,39,19.27117432534154,101.211998462677
ทุ่งช้าง,ต.และ อ.ทุ่งช้าง จ.น่าน,22:00 น.,3.1,19.41194398114017,100.88352978229523
