ชื่อสถานี,ที่ตั้ง,เวลา,ฝนล่าสุด (มม.)
สถานีบ้านเต๋ยกิ๋วเห็น,ต.ภูคา อ.ปัว จ.น่าน ,21:00 ,210.5
สถานีปราจีนบุรี,ต.หน้าเมือง อ.เมืองปราจีนบุรี จ.ปราจีนบุรี ,19:00 ,153.5
สถานีบ้านหินสอ,ต.ปลาบ่า อ.ภูเรือ จ.เลย ,21:00 ,127.5
สถานีบ้านดง*,ต.สาริกา อ.เมืองนครนายก จ.นครนายก ,19:00 ,117.5
สถานีบ้านฝางแล้ง,ต.ขุนฝาง อ.เมืองอุตรดิตถ์ จ.อุตรดิตถ์ ,21:00 ,117
สถานีบ้านวังรี,ต.เขาพระ อ.เมืองนครนายก จ.นครนายก ,15:00 ,109.5
สถานีบ้านบางหวาน,ต.กมลา อ.กะทู้ จ.ภูเก็ต ,21:00 ,107
สถานีส.คลองบางจาก,ต.บางแคเหนือ อ.บางแค จ.กรุงเทพมหานคร ,22:00 ,106.5
สถานีบ้านโกรกอีดก,ต.ชะอม อ.แก่งคอย จ.สระบุรี ,21:00 ,105.6
สถานีจุดวัด ค.ทวีฯ-ค.ภาษีฯ,ต.หนองแขม อ.หนองแขม จ.กรุงเทพมหานคร ,22:00 ,105.5
สถานีอบต.กะลาเส,ต.กะลาเส อ.สิเกา จ.ตรัง ,21:00 ,103.8
สถานีอบต.ศรีกะอาง,ต.เขาเพิ่ม อ.บ้านนา จ.นครนายก ,21:00 ,102.4
สถานีบ้านสลักเพชรเหนือ,ต.เกาะช้างใต้ อ.เกาะช้าง จ.ตราด ,21:00 ,102
สถานีอุทยานแห่งชาติดอยภูคา,ต.ภูคา อ.ปัว จ.น่าน ,21:00 ,98.4
สถานีอบต.ดงพระรามณ์,ต.ดงพระราม อ.เมืองปราจีนบุรี จ.ปราจีนบุรี ,21:00 ,98.4
สถานีเมืองปราจีนบุรี,ต.หน้าเมือง อ.เมืองปราจีนบุรี จ.ปราจีนบุรี ,21:00 ,96.2
