ชื่อสถานี,ที่ตั้ง,เวลา,ฝนล่าสุด (มม.),lat,long
บ้านใน,ต.ปากแพรก อ.ดอนสัก จ.สุราษฎร์ธานี,17:00 น.,10,9.122918125049006,99.67876195907593
เกาะลันตา,ต.เกาะลันตาใหญ่ อ.เกาะลันตา จ.กระบี่,04:00 น.,3.6,7.533334150038908,99.04999852180481
สะพานข้ามคลองหวาด,ต.คลองสระ อ.กาญจนดิษฐ์ จ.สุราษฎร์ธานี,00:00 น.,0.8,8.935932666086208,99.60874021053314
เขตรักษาพันธุ์สัตว์ป่าน้ำตกสองแพรก,ต.สองแพรก อ.เมืองพังงา จ.พังงา,00:00 น.,0.4,8.612559675742036,98.54960024356842
บ้านผาฮี้ (อาข่า),ต.โป่งงาม อ.แม่สาย จ.เชียงราย,23:00 น.,5.5,20.351688588284134,99.82599914073944
บ้านสันติสุข (บ้านกิ่วสะไต),ต.ป่าตึง อ.แม่จัน จ.เชียงราย,23:00 น.,5,20.104384903441623,99.62499976158142
บ้านวังลาว,ต.เวียง อ.เชียงแสน จ.เชียงราย,23:00 น.,5.5,20.373037541542566,100.0600004196167
ท้ายเขื่อนรัชชประภา,ต.เขาพัง อ.บ้านตาขุน จ.สุราษฎร์ธานี,14:00 น.,47,8.961749980069568,98.81437182426453
บ้านวังสมบูรณ์,ต.เขาปูน อ.ห้วยยอด จ.ตรัง,04:00 น.,18,7.77448010965501,99.7040069103241
บ้านเชี่ยวหมอน,ต.พนม อ.พนม จ.สุราษฎร์ธานี,23:00 น.,2,8.83749537025456,98.7739884853363
บ้านสันติคีรี,ต.แม่สลองนอก อ.แม่ฟ้าหลวง จ.เชียงราย,23:00 น.,49.5,20.16505045956637,99.62499976158142
รร.บ้านท่าหัน,ต.รมณีย์ อ.กะปง จ.พังงา,00:00 น.,7.2,8.82907241062152,98.49199175834656
บ้านโป่งป่าติ้ว,ต.กกดู่ อ.เมืองเลย จ.เลย,14:00 น.,39,17.572172977915358,101.59599959850311
บ้านพนาสวรรค์,ต.แม่ยาว อ.เมืองเชียงราย จ.เชียงราย,23:00 น.,4,20.035889441880034,99.60200250148773
สะพานข้ามลำปะเทีย,ต.อีสานเขต อ.เฉลิมพระเกียรติ จ.บุรีรัมย์,17:00 น.,4.4,14.617066622070004,102.90032029151917
บ้านห้วยยาโน,ต.ป่าตึง อ.แม่จัน จ.เชียงราย,23:00 น.,5,20.113099627698027,99.77999925613403
ทต.หนองเลิง,ต.หนองเลิง อ.บึงกาฬ จ.บึงกาฬ,00:00 น.,0.6,18.339143392115528,103.3976662158966
บ้านปางส้าน,ต.ยอด อ.สองแคว จ.น่าน,23:00 น.,5.5,19.4317101253703,100.60400068759918
บ้านห้วยตง,ต.กรุงชิง อ.นบพิตำ จ.นครศรีธรรมราช,15:00 น.,26,8.91898508526589,99.61198568344116
ทต.ราไวย์,ต.ราไวย์ อ.เมืองภูเก็ต จ.ภูเก็ต,14:00 น.,0.4,7.770802038287509,98.31874787807465
ทต.ปากตะโก,ต.ปากตะโก อ.ทุ่งตะโก จ.ชุมพร,14:00 น.,6.6,10.100544978963013,99.13784086704254
บ้านมูเซอป่ากล้วย,ต.แม่ฟ้าหลวง อ.แม่ฟ้าหลวง จ.เชียงราย,23:00 น.,10.5,20.2987435387476,99.81100022792816
ตราด,ต.คลองใหญ่ อ.คลองใหญ่ จ.ตราด,22:00 น.,0.3,11.766668216483176,102.88333117961884
สะพานทางเข้าชุมชนบ้านปากซวด,ต.พังกาญจน์ อ.พนม จ.สุราษฎร์ธานี,00:00 น.,0.4,8.88967207372546,98.82031559944153
หน่วยจัดการต้นน้ำตาปี,ต.ตะกุกใต้ อ.วิภาวดี จ.สุราษฎร์ธานี,15:00 น.,10.4,9.162941985806267,98.8869845867157
หน่วยจัดการต้นน้ำดอยตุง,ต.แม่ฟ้าหลวง อ.แม่ฟ้าหลวง จ.เชียงราย,00:00 น.,8.6,20.323701653440978,99.78436052799225
บ้านมอล่อง,ต.แม่สลองใน อ.แม่ฟ้าหลวง จ.เชียงราย,23:00 น.,2,20.21090290555916,99.63900089263916
ทต.แม่จัน,ต.แม่จัน อ.แม่จัน จ.เชียงราย,00:00 น.,2.6,20.139261032653557,99.85798180103302
บ้านดอยสะโงะ,ต.ศรีดอนมูล อ.เชียงแสน จ.เชียงราย,23:00 น.,8.5,20.346085571712656,100.02100110054016
บ้านอากู่,ต.เทอดไทย อ.แม่ฟ้าหลวง จ.เชียงราย,23:00 น.,4.5,20.251155523673205,99.67899799346924
บ้านแม่แสลป,ต.แม่สลองใน อ.แม่ฟ้าหลวง จ.เชียงราย,23:00 น.,12,20.184078823012726,99.70799803733826
บ้านหัวเตย,ต.ท่าอุแท อ.กาญจนดิษฐ์ จ.สุราษฎร์ธานี,23:00 น.,0.5,9.040796124417039,99.71161901950836
บ้านดอยมด,ต.แม่เจดีย์ใหม่ อ.เวียงป่าเป้า จ.เชียงราย,19:00 น.,2,19.053498215590984,99.46399748325348
บ้านหน้าเหมือง,ต.ควนทอง อ.ขนอม จ.นครศรีธรรมราช,23:00 น.,22,9.143690630727264,99.78900074958801
อบต.เทอดไทย,ต.เทอดไทย อ.แม่ฟ้าหลวง จ.เชียงราย,00:00 น.,2.4,20.243434996535814,99.66370940208435
บ้านวังขยาย,ต.ปรังเผล อ.สังขละบุรี จ.กาญจนบุรี,23:00 น.,1.5,14.941281160870552,98.61761033535004
บ้านปลายคลองวัน,ต.ปากจั่น อ.กระบุรี จ.ระนอง,23:00 น.,3,10.510740579784967,98.85878384113312
บ้านผาใต้,ต.ห้วยชมภู อ.เมืองเชียงราย จ.เชียงราย,23:00 น.,2.5,20.04863950159811,99.51500236988068
