ชื่อสถานี,ที่ตั้ง,เวลา,ฝนล่าสุด (มม.),lat,long
บ้านคลองตูกเหนือ,ต.กะปาง อ.ทุ่งสง จ.นครศรีธรรมราช,16:00 น.,61,8.018010777888575,99.72309350967407
ฝายคลองท่าเลา,ต.นาหลวงเสน อ.ทุ่งสง จ.นครศรีธรรมราช,00:00 น.,1.4,8.232626560423926,99.70778346061707
อบต.นากะซะ,ต.นากะชะ อ.ฉวาง จ.นครศรีธรรมราช,22:00 น.,0.2,8.426951304802266,99.44588720798492
บ้านน้ำรอบ,ต.ลานสกา อ.ลานสกา จ.นครศรีธรรมราช,23:00 น.,22,8.305843387438399,99.7849988937378
เหนือปตร.พระธรรมราชา,ต.บึงน้ำรักษ์ อ.ธัญบุรี จ.ปทุมธานี,21:00 น.,0.2,14.077692217601369,100.8920806646347
ปทุมธานี สกษ.,ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี,22:00 น.,0.01,14.099997706450385,100.6166660785675
บ้านบางมะขาม,ต.อ่างทอง อ.เกาะสมุย จ.สุราษฎร์ธานี,02:00 น.,7,9.543901244928573,99.93220388889313
สะพานบ้าน กม.29 อ.เบตง จ.ยะลา,ต.อัยเยอร์เวง อ.เบตง จ.ยะลา,23:00 น.,29,5.9205772757963935,101.18208646774292
สะพานนวลฉวี,ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี,00:00 น.,0.4,13.947525752208934,100.53503572940826
เหนือปตร.พระอินทราชา,ต.วังน้อย อ.วังน้อย จ.พระนครศรีอยุธยา,21:00 น.,0.6,14.144081960208693,100.6214028596878
ท้ายไซฟอน ปตร.พระธรรมราชา,ต.บึงน้ำรักษ์ อ.ธัญบุรี จ.ปทุมธานี,21:00 น.,0.2,14.076802450545669,100.89407622814178
บ้านไอร์เจี๊ยะ,ต.ซากอ อ.ศรีสาคร จ.นราธิวาส,23:00 น.,7.5,6.207125095303059,101.53869152069092
บ้านลิพัง,ต.ลิพัง อ.ปะเหลียน จ.ตรัง,23:00 น.,2,7.163564602240865,99.78799760341644
ท้ายปตร.พระอินทราชา,ต.พยอม อ.วังน้อย จ.พระนครศรีอยุธยา,21:00 น.,0.6,14.143728238074537,100.62076985836029
บ้านนาท้อน,ต.ตลิ่งชัน อ.ท่าศาลา จ.นครศรีธรรมราช,13:00 น.,46.5,8.790628623951077,99.82548415660858
บ้านน้ำสอด,ต.และ อ.ทุ่งช้าง จ.น่าน,23:00 น.,35.5,19.448828383100253,100.82900047302246
