ชื่อสถานี,ที่ตั้ง,เวลา,ฝนล่าสุด (มม.)
บ้านห้วยทรายเหนือ,ต.ห้วยเฮี้ย อ.นครไทย จ.พิษณุโลก,21:00 น.,125
บ้านทุ่ง,ต.สบปราบ อ.สบปราบ จ.ลำปาง,05:00 น.,97.5
บ้านแก่งลาด,ต.ห้วยเฮี้ย อ.นครไทย จ.พิษณุโลก,22:00 น.,87.5
อบต.เขาค่าย,ต.เขาค่าย อ.สวี จ.ชุมพร,06:00 น.,86.4
อบต.ชอนสารเดช,ต.ชอนสารเดช อ.หนองม่วง จ.ลพบุรี,06:00 น.,86.2
บ้านปากแพรก,ต.ละอุ่นเหนือ อ.ละอุ่น จ.ระนอง,05:00 น.,82.5
บ้านห้วยแม่เลี่ยม,ต.ห้วยชมภู อ.เมืองเชียงราย จ.เชียงราย,05:00 น.,81.5
ระนอง,ต.บางนอน อ.เมืองระนอง จ.ระนอง,04:00 น.,80.6
บ้านบุ่งผำ,ต.น้ำกุ่ม อ.นครไทย จ.พิษณุโลก,22:00 น.,80.5
ทต.ทองแสนขัน,ต.ป่าคาย อ.ทองแสนขัน จ.อุตรดิตถ์,06:00 น.,79.8
บ้านท่าวังแคน,ต.ศรีสองรัก อ.เมืองเลย จ.เลย,05:00 น.,77
บ้านปลายคลองวัน,ต.ปากจั่น อ.กระบุรี จ.ระนอง,05:00 น.,72
บ้านไผ่โทน,ต.ไผ่โทน อ.ร้องกวาง จ.แพร่,19:00 น.,72
ทต.บ้านโคก,ต.บ้านโคก อ.บ้านโคก จ.อุตรดิตถ์,06:00 น.,72
เหนือฝายยโสธร,ต.แสนสุข อ.พนมไพร จ.ร้อยเอ็ด,06:00 น.,71.8
ทต.ปากน้ำ,ต.ปากน้ำ อ.เมืองระนอง จ.ระนอง,06:00 น.,71.6
อบต.ด่านชุมพล,ต.ด่านชุมพล อ.บ่อไร่ จ.ตราด,06:00 น.,70.6
อบต.ร้องกวาง,ต.ร้องกวาง อ.ร้องกวาง จ.แพร่,06:00 น.,70
ทม.ระนอง,ต.เขานิเวศน์ อ.เมืองระนอง จ.ระนอง,06:00 น.,68.6
บ้านนาฟองแดง,ต.นครชุม อ.นครไทย จ.พิษณุโลก,20:00 น.,68.5
บ้านอากู่,ต.เทอดไทย อ.แม่ฟ้าหลวง จ.เชียงราย,05:00 น.,68.5
อบต.บางใหญ่,ต.บางใหญ่ อ.กระบุรี จ.ระนอง,06:00 น.,68
บ้านปูนะ,ต.เทอดไทย อ.แม่ฟ้าหลวง จ.เชียงราย,05:00 น.,67.5
บ้านน้ำกุ่ม,ต.น้ำกุ่ม อ.นครไทย จ.พิษณุโลก,21:00 น.,67
บ้านวังประดิษฐ์,ต.เขาค่าย อ.สวี จ.ชุมพร,05:00 น.,66
บ้านวัดสวาด,ต.ป่าร่อน อ.กาญจนดิษฐ์ จ.สุราษฎร์ธานี,05:00 น.,65.5
บ้านโป่งน้ำร้อน,ต.เสริมกลาง อ.เสริมงาม จ.ลำปาง,05:00 น.,65
สะพานบ้านตรังพัฒนา,ต.พะโต๊ะ อ.พะโต๊ะ จ.ชุมพร,06:00 น.,64.4
ตราด,ต.คลองใหญ่ อ.คลองใหญ่ จ.ตราด,04:00 น.,63.9
บ้านมูเซอป่ากล้วย,ต.แม่ฟ้าหลวง อ.แม่ฟ้าหลวง จ.เชียงราย,05:00 น.,63
รร.บ้านปางยาง,ต.ภูคา อ.ปัว จ.น่าน,06:00 น.,62.4
