ชื่อสถานี,ที่ตั้ง,เวลา,ฝนล่าสุด (มม.)
สถานีสะพานข้ามลำปะเทีย,ต.อีสานเขต อ.เฉลิมพระเกียรติ จ.บุรีรัมย์ ,06:00 ,138
สถานีชุมชนประแส,ต.ปากน้ำกระแส อ.แกลง จ.ระยอง ,06:00 ,110.2
สถานีอบต.ไม้ขาว,ต.ไม้ขาว อ.ถลาง จ.ภูเก็ต ,06:00 ,94.8
สถานีภูเก็ต,ต.ตลาดใหญ่ อ.เมืองภูเก็ต จ.ภูเก็ต ,04:00 ,94.4
สถานีทต.หนองฉาง,ต.หนองฉาง อ.หนองฉาง จ.อุทัยธานี ,06:00 ,78.8
สถานีบ้านท่างิ้ว,ต.ท่างิ้ว อ.ห้วยยอด จ.ตรัง ,05:00 ,76.5
สถานีอบต.ลำนางรอง,ต.ลำนางรอง อ.โนนดินแดง จ.บุรีรัมย์ ,06:00 ,70.6
สถานีนางรอง,ต.สะเดา อ.นางรอง จ.บุรีรัมย์ ,04:00 ,70.4
สถานียางตลาด,ต.ดอนสมบูรณ์ อ.ยางตลาด จ.กาฬสินธุ์ ,06:00 ,69
สถานีบ้านทับคริสต์,ต.คลองชะอุ่น อ.พนม จ.สุราษฎร์ธานี ,06:00 ,68
สถานีอบต.ตลาดไทร,ต.ตลาดไทร อ.ชุมพวง จ.นครราชสีมา ,06:00 ,64.2
สถานีบ้านสลักเพชรเหนือ,ต.เกาะช้างใต้ อ.เกาะช้าง จ.ตราด ,05:00 ,63.5
สถานีบ้านโคกพลวง,ต.หนองโบสถ์ อ.นางรอง จ.บุรีรัมย์ ,06:00 ,63.4
สถานีอบต.ไม้รูด,ต.ไม้รูด อ.คลองใหญ่ จ.ตราด ,06:00 ,58.6
สถานีบ้านเมืองแพม,ต.ถ้ำลอด อ.ปางมะผ้า จ.แม่ฮ่องสอน ,05:00 ,56.5
สถานีอบต.ชนแดน,ต.ชนแดน อ.ชนแดน จ.เพชรบูรณ์ ,06:00 ,55
สถานีทต.วัดสิงห์,ต.วัดสิงห์ อ.วัดสิงห์ จ.ชัยนาท ,06:00 ,53.6
สถานีบ้านหนองพรมหน่อ,ต.ห้วยคต อ.ห้วยคต จ.อุทัยธานี ,05:00 ,52.5
สถานีทต.สว่างอารมณ์,ต.สว่างอารมณ์ อ.สว่างอารมณ์ จ.อุทัยธานี ,06:00 ,52.4
สถานีทต.ทับคล้อ,ต.ทับคล้อ อ.ทับคล้อ จ.พิจิตร ,06:00 ,51.6
สถานีทต.เจดีย์,ต.เจดีย์ อ.อู่ทอง จ.สุพรรณบุรี ,06:00 ,50.8
สถานีบ้านตาบาด,ต.บ่อพลอย อ.บ่อไร่ จ.ตราด ,05:00 ,50.5
สถานีบ้านท่าแพ,ต.เมือง อ.เมืองเลย จ.เลย ,05:00 ,50
สถานีทต.บ้านนา,ต.บ้านนา อ.แกลง จ.ระยอง ,06:00 ,49.8
สถานีบ้านแก่งลาด,ต.ห้วยเฮี้ย อ.นครไทย จ.พิษณุโลก ,05:00 ,49.5
สถานีบ้านเทอดชาติ,ต.บ่อภาค อ.ชาติตระการ จ.พิษณุโลก ,05:00 ,48
สถานีบ้านจุฬาภรณ์พัฒนา,ต.เขาพระ อ.พิปูน จ.นครศรีธรรมราช ,19:00 ,47.5
สถานีบ้านไร่พริก,ต.บ้านบึง อ.บ้านไร่ จ.อุทัยธานี ,19:00 ,47.5
สถานีบ้านกอบแก้ววัฒนาภิบาล,ต.ลำพูน อ.บ้านนาสาร จ.สุราษฎร์ธานี ,18:00 ,47
สถานีบ้านหนองผักบุ้ง,ต.นายม อ.เมืองเพชรบูรณ์ จ.เพชรบูรณ์ ,05:00 ,46
สถานีบ้านหินโหง่น,ต.ห้วยคต อ.ห้วยคต จ.อุทัยธานี ,05:00 ,46
สถานีบ้านธาราวงศ์อารีย์,ต.เพิ่มพูนทรัพย์ อ.บ้านนาสาร จ.สุราษฎร์ธานี ,18:00 ,46
สถานีสะพานข้ามน้ำมูล,ต.โขงเจียม อ.โขงเจียม จ.อุบลราชธานี ,06:00 ,45.6
สถานีบ้านกกเต็น,ต.ห้วยขมิ้น อ.ด่านช้าง จ.สุพรรณบุรี ,05:00 ,44.5
