ชื่อสถานี,ที่ตั้ง,เวลา,ฝนล่าสุด (มม.)
บ้านสะโทย,ต.วังสรรพรส อ.ขลุง จ.จันทบุรี,05:00 น.,153.5
บ้านตาบาด,ต.บ่อพลอย อ.บ่อไร่ จ.ตราด,05:00 น.,131.5
ตราด,ต.คลองใหญ่ อ.คลองใหญ่ จ.ตราด,04:00 น.,118.2
อบต.ไม้รูด,ต.ไม้รูด อ.คลองใหญ่ จ.ตราด,06:00 น.,94
บ้านมะม่วง,ต.นนทรีย์ อ.บ่อไร่ จ.ตราด,05:00 น.,87
อบต.สะตอ,ต.สะตอ อ.เขาสมิง จ.ตราด,06:00 น.,84
อบต.นาโพธิ์กลาง,ต.นาโพธิ์กลาง อ.โขงเจียม จ.อุบลราชธานี,06:00 น.,72.6
บ้านหนองบอน,ต.หนองบอน อ.บ่อไร่ จ.ตราด,05:00 น.,72
บ้านแม่ทุเลาใน,ต.กลางดง อ.ทุ่งเสลี่ยม จ.สุโขทัย,05:00 น.,71.5
เลย,ต.นาอาน อ.เมืองเลย จ.เลย,04:00 น.,71.4
หน่วยพิทักษ์อุทยานแห่งชาติที่ ศล.๕ (แม่ระงอง),ต.น้ำแพร่ อ.พร้าว จ.เชียงใหม่,06:00 น.,68.2
บ้านหินโหง่น,ต.ห้วยคต อ.ห้วยคต จ.อุทัยธานี,05:00 น.,67
บ้านท่าแพ,ต.เมือง อ.เมืองเลย จ.เลย,05:00 น.,65
จันทบุรี,ต.วัดใหม่ อ.เมืองจันทบุรี จ.จันทบุรี,04:00 น.,60.8
บ้านห้วยคอม,ต.น้ำไผ่ อ.น้ำปาด จ.อุตรดิตถ์,05:00 น.,60
บ้านข่วงชมภู,ต.เตาปูน อ.สอง จ.แพร่,05:00 น.,60
ทต.หนองบอน,ต.หนองบอน อ.บ่อไร่ จ.ตราด,06:00 น.,59.8
อบจ.เพชรบูรณ์,ต.ในเมือง อ.เมืองเพชรบูรณ์ จ.เพชรบูรณ์,06:00 น.,59.6
ทต.คุ้งตะเภา,ต.คุ้งตะเภา อ.เมืองอุตรดิตถ์ จ.อุตรดิตถ์,06:00 น.,59.4
บ้านห้วยม่วง,ต.นาดินดำ อ.เมืองเลย จ.เลย,05:00 น.,59
อบต.เขาทอง,ต.เขาทอง อ.พยุหะคีรี จ.นครสวรรค์,06:00 น.,58.8
บ้านนาเคียน,ต.ตาลชุม อ.เวียงสา จ.น่าน,05:00 น.,56.5
วัดบ้านดงผาปูน,ต.บ่อเกลือใต้ อ.บ่อเกลือ จ.น่าน,06:00 น.,55
บ้านห้วยสีเสียด,ต.น้ำหมาน อ.เมืองเลย จ.เลย,05:00 น.,54.5
อบต.บึงกาฬ,ต.บึงกาฬ อ.บึงกาฬ จ.บึงกาฬ,06:00 น.,54.4
ทต.พังโคน,ต.พังโคน อ.พังโคน จ.สกลนคร,06:00 น.,53.2
บ้านกงษีไร่ (หมู่ 6),ต.ซึ้ง อ.ขลุง จ.จันทบุรี,05:00 น.,52.5
อบต.แก้ง,ต.แก้ง อ.เดชอุดม จ.อุบลราชธานี,06:00 น.,52
อบต.ท่าแฝก,ต.ท่าแฝก อ.ท่าปลา จ.อุตรดิตถ์,06:00 น.,50
ทต.บะยาว,ต.บะยาว อ.วังสามหมอ จ.อุดรธานี,06:00 น.,49.4
บ้านวังขอนงุ้น,ต.แม่สำ อ.ศรีสัชนาลัย จ.สุโขทัย,05:00 น.,48
บ้านคลองป่าหวาย,ต.หนองไร่ อ.ปลวกแดง จ.ระยอง,05:00 น.,48
อบต.หนองพันทา,ต.หนองพันทา อ.โซ่พิสัย จ.บึงกาฬ,06:00 น.,47
บ้านหัวฝาย,ต.ชัยพฤกษ์ อ.เมืองเลย จ.เลย,05:00 น.,47
บ้านกกเต็น,ต.ห้วยขมิ้น อ.ด่านช้าง จ.สุพรรณบุรี,02:00 น.,46.5
หน่วยจัดการต้นน้ำห้วยสำราญ,ต.จรัส อ.บัวเชด จ.สุรินทร์,06:00 น.,46.4
ลำน้ำอูน,ต.สว่าง อ.พรรณานิคม จ.สกลนคร,06:00 น.,46.2
บ้านห่างทางหลวง,ต.ภูฟ้า อ.บ่อเกลือ จ.น่าน,05:00 น.,46
อุบลราชธานี สกษ.,ต.ท่าช้าง อ.สว่างวีระวงศ์ จ.อุบลราชธานี,04:00 น.,46
บ้านไชยงาม,ต.แม่แวน อ.พร้าว จ.เชียงใหม่,05:00 น.,46
บ้านซับชมภู,ต.วังทอง อ.ภักดีชุมพล จ.ชัยภูมิ,05:00 น.,45.5
เพชรบูรณ์,ต.ในเมือง อ.เมืองเพชรบูรณ์ จ.เพชรบูรณ์,04:00 น.,45.5
พลิ้ว สกษ.,ต.ตะปอน อ.ขลุง จ.จันทบุรี,04:00 น.,45.4
เปร็ดใน,ต.ห้วงน้ำขาว อ.เมืองตราด จ.ตราด,06:00 น.,45.2
กาฬสินธุ์,ต.หลักเมือง อ.กมลาไสย จ.กาฬสินธุ์,04:00 น.,44.9
อบต.ไล่โว่,ต.ไล่โว่ อ.สังขละบุรี จ.กาญจนบุรี,06:00 น.,44.8
บ้านน้ำกุ่ม,ต.น้ำกุ่ม อ.นครไทย จ.พิษณุโลก,05:00 น.,44.5
บ้านเหล่ากอหก,ต.เหล่ากอหก อ.นาแห้ว จ.เลย,05:00 น.,44.5
ทต.ศรีสงคราม,ต.ศรีสงคราม อ.ศรีสงคราม จ.นครพนม,06:00 น.,43.8
บ้านอมพาย,ต.ป่าแป๋ อ.แม่สะเรียง จ.แม่ฮ่องสอน,05:00 น.,43.5
บ้านม่อนหัวฝาย,ต.บ้านด่านนาขาม อ.เมืองอุตรดิตถ์ จ.อุตรดิตถ์,05:00 น.,43.5
ทต.พลิ้ว,ต.พลิ้ว อ.แหลมสิงห์ จ.จันทบุรี,06:00 น.,43.4
