ชื่อสถานี,ที่ตั้ง,เวลา,ฝนล่าสุด (มม.)
อบต.ดู่พงษ์,ต.ดู่พงษ์ อ.สันติสุข จ.น่าน,06:00 น.,117
หน่วยพิทักษ์ป่าน้ำสาว,ต.ขุนควร อ.ปง จ.พะเยา,21:00 น.,99
สะพานน้ำมวบ (บ้านภูแยง),ต.ดู่พงษ์ อ.สันติสุข จ.น่าน,06:00 น.,92.2
หน่วยจัดการต้นน้ำแม่จริม,ต.แม่จริม อ.แม่จริม จ.น่าน,06:00 น.,74
บ้านนาโม้,ต.หาดคัมภีร์ อ.ปากชม จ.เลย,05:00 น.,73
บ้านแม่หีด,ต.วังแก้ว อ.วังเหนือ จ.ลำปาง,05:00 น.,72.5
บ้านร้องธาร,ต.ศรีดงเย็น อ.ไชยปราการ จ.เชียงใหม่,05:00 น.,64.5
สนามกีฬา อบต.ป่าคาหลวง,ต.ป่าคาหลวง อ.บ้านหลวง จ.น่าน,06:00 น.,64
รร.บ้านปางช้าง,ต.ป่าแลวหลวง อ.สันติสุข จ.น่าน,06:00 น.,63.6
อบจ.น่าน,ต.ในเวียง อ.เมืองน่าน จ.น่าน,06:00 น.,62.8
ศูนย์สาธิตการพัฒนาฯ การใช้หญ้าแฝกด้านป่าไม้ที่ ๑,ต.โป่งแยง อ.แม่ริม จ.เชียงใหม่,06:00 น.,62.2
บ้านตอง,ต.แม่จริม อ.แม่จริม จ.น่าน,06:00 น.,57.6
บ้านกิ่วม่วง,ต.ดู่พงษ์ อ.สันติสุข จ.น่าน,05:00 น.,57.5
บ้านห้วยธนู,ต.ตาลชุม อ.ท่าวังผา จ.น่าน,05:00 น.,56.5
ทต.บาเจาะ,ต.บาเจาะ อ.บาเจาะ จ.นราธิวาส,06:00 น.,56.2
หน่วยจัดการต้นน้ำแม่ขะนิง,ต.แม่ขะนิง อ.เวียงสา จ.น่าน,06:00 น.,54.4
รพสต.หมอเมือง,ต.หมอเมือง อ.แม่จริม จ.น่าน,06:00 น.,53.4
หน่วยศึกษาการพัฒนาการอนุรักษ์ต้นน้ำน้ำม่าว,ต.ปง อ.ปง จ.พะเยา,06:00 น.,52.8
อุดรธานี,ต.หนองขอนกว้าง อ.เมืองอุดรธานี จ.อุดรธานี,04:00 น.,51.9
บ้านทุ่งมะส้าน,ต.หมอกจำแป่ อ.เมืองแม่ฮ่องสอน จ.แม่ฮ่องสอน,04:00 น.,51
บ้านห้วยผึ้ง,ต.หมอกจำแป่ อ.เมืองแม่ฮ่องสอน จ.แม่ฮ่องสอน,03:00 น.,51
สะพานหาดกวน-อุ่มไผ่พัฒนา,ต.ไชยบุรี อ.ท่าอุเทน จ.นครพนม,06:00 น.,50.4
ทต.ปากน้ำ,ต.ปากน้ำ อ.เมืองระนอง จ.ระนอง,06:00 น.,50.2
บ้านโก๊ะไม้หลู่,ต.ป่าแป๋ อ.แม่สะเรียง จ.แม่ฮ่องสอน,03:00 น.,50
บ้านผาสิงห์,ต.ผาสิงห์ อ.เมืองน่าน จ.น่าน,04:00 น.,50
ทต.บ่อเกลือใต้,ต.บ่อเกลือใต้ อ.บ่อเกลือ จ.น่าน,06:00 น.,49.2
สะพานห้วยปากแซง,ต.สำโรง อ.โพธิ์ไทร จ.อุบลราชธานี,06:00 น.,49.2
บ้านแก่นอุดร,ต.น้ำแก่น อ.ภูเพียง จ.น่าน,20:00 น.,48.5
บ้านสบป่อง,ต.ปางมะผ้า อ.ปางมะผ้า จ.แม่ฮ่องสอน,05:00 น.,48.5
บ้านอมพาย,ต.ป่าแป๋ อ.แม่สะเรียง จ.แม่ฮ่องสอน,05:00 น.,48.5
บ้านน้ำใส,ต.ฝายแก้ว อ.ภูเพียง จ.น่าน,05:00 น.,48
บ้านตาแวน,ต.เรือง อ.เมืองน่าน จ.น่าน,05:00 น.,48
บ้านห้วยตึม,ต.บ้านพี้ อ.บ้านหลวง จ.น่าน,05:00 น.,48
บ้านนาเปรื่อง,ต.บ่อเกลือใต้ อ.บ่อเกลือ จ.น่าน,05:00 น.,47.5
บ้านเขื่อนแก้ว,ต.ถืมตอง อ.เมืองน่าน จ.น่าน,05:00 น.,47.5
บ้านแม่โถหลวง,ต.บ่อสลี อ.ฮอด จ.เชียงใหม่,01:00 น.,47
บ้านน้ำริน,ต.สบป่อง อ.ปางมะผ้า จ.แม่ฮ่องสอน,20:00 น.,47
บ้านกิ่วเคียน,ต.จริม อ.ท่าปลา จ.อุตรดิตถ์,00:00 น.,47
บ้านหนองใหม่,ต.พงษ์ อ.สันติสุข จ.น่าน,04:00 น.,47
บ้านปางแปก,ต.แม่นาเติง อ.ปาย จ.แม่ฮ่องสอน,05:00 น.,46.5
ทต.บัวสว่าง,ต.สว่าง อ.พรรณานิคม จ.สกลนคร,06:00 น.,45.6
บ้านห้วยไฟ,ต.แม่ขะนิง อ.เวียงสา จ.น่าน,20:00 น.,45.5
บ้านก้อ,ต.แม่จริม อ.แม่จริม จ.น่าน,05:00 น.,45.5
อบต.น้ำมวบ,ต.น้ำมวบ อ.เวียงสา จ.น่าน,06:00 น.,45.2
บ้านอูแบ,ต.ยะต๊ะ อ.รามัน จ.ยะลา,05:00 น.,45
บ้านห้วยคำ,ต.ฝายแก้ว อ.ภูเพียง จ.น่าน,05:00 น.,45
น่าน สกษ.,ต.ผาสิงห์ อ.เมืองน่าน จ.น่าน,04:00 น.,44.6
บ้านผาตูบ,ต.ผาสิงห์ อ.เมืองน่าน จ.น่าน,19:00 น.,44.5
ทต.เนินมะปราง,ต.เนินมะปราง อ.เนินมะปราง จ.พิษณุโลก,06:00 น.,44.2
บ้านปางเคาะ,ต.ไทรย้อย อ.เด่นชัย จ.แพร่,22:00 น.,44
บ้านสะเนียน,ต.สะเนียน อ.เมืองน่าน จ.น่าน,04:00 น.,43.5
บ้านหลวง,ต.แม่เงา อ.ขุนยวม จ.แม่ฮ่องสอน,05:00 น.,43
บ้านต้าม,ต.บ่อสวก อ.เมืองน่าน จ.น่าน,05:00 น.,43
บ้านหินกอง,ต.ทุ่งเบญจา อ.ท่าใหม่ จ.จันทบุรี,05:00 น.,42.5
บ้านทุ่งผง,ต.ทุ่งศรีทอง อ.เวียงสา จ.น่าน,05:00 น.,42.5
หน่วยพิทักษ์อุทยานฯ ที่ ผก.๒ (ถ้ำเอราวัณ-แก่งหลวง),ต.บ้านปิน อ.ลอง จ.แพร่,06:00 น.,42.4
ภูเพียง,ต.เมืองจัง อ.ภูเพียง จ.น่าน,06:00 น.,42.2
บ้านสะโทย,ต.วังสรรพรส อ.ขลุง จ.จันทบุรี,05:00 น.,42
บ้านแพมบก,ต.ทุ่งยาว อ.ปาย จ.แม่ฮ่องสอน,05:00 น.,42
บ้านนาเคียน,ต.ตาลชุม อ.เวียงสา จ.น่าน,05:00 น.,42
บ้านชื่น,ต.ทุ่งศรีทอง อ.เวียงสา จ.น่าน,05:00 น.,42
องค์การบริหารส่วนตำบลตาชี,ต.ตาชี อ.ยะหา จ.ยะลา,06:00 น.,41.6
บ้านนอก,ต.ตาชี อ.ยะหา จ.ยะลา,05:00 น.,41.5
บ้านโพนทอง,ต.เชียงกลม อ.ปากชม จ.เลย,05:00 น.,41
บ้านบางติบ,ต.บางวัน อ.คุระบุรี จ.พังงา,05:00 น.,41
บ้านห้วยเงาะ,ต.ทุ่งพลา อ.โคกโพธิ์ จ.ปัตตานี,05:00 น.,40.5
บ้านหัวนา,ต.พงษ์ อ.สันติสุข จ.น่าน,02:00 น.,40
ท่าวังผา,ต.ท่าวังผา อ.ท่าวังผา จ.น่าน,06:00 น.,39.2
นราธิวาส,ต.บางนาค อ.เมืองนราธิวาส จ.นราธิวาส,22:00 น.,38.8
บ้านเขาอ่าง,ต.มาบไพ อ.ขลุง จ.จันทบุรี,05:00 น.,38.5
ทต.สังคม,ต.แก้งไก่ อ.สังคม จ.หนองคาย,06:00 น.,38.2
บ้านห้วยน้ำใส,ต.สบเมย อ.สบเมย จ.แม่ฮ่องสอน,05:00 น.,38
บ้านมุงเหนือ,ต.บ้านมุง อ.เนินมะปราง จ.พิษณุโลก,05:00 น.,38
พะเยา,ต.แม่ใส อ.เมืองพะเยา จ.พะเยา,04:00 น.,37.5
บ้านพนาสวรรค์,ต.แม่ยาว อ.เมืองเชียงราย จ.เชียงราย,05:00 น.,37.5
นายายอาม,ต.วังใหม่ อ.นายายอาม จ.จันทบุรี,06:00 น.,37.2
อบต.บ้านผึ้ง,ต.บ้านผึ้ง อ.เมืองนครพนม จ.นครพนม,06:00 น.,37
บ้านห้วยตาดใต้,ต.นาดอกคำ อ.นาด้วง จ.เลย,05:00 น.,36.5
บ้านควนหินราว,ต.บ้านลำนาว อ.บางขัน จ.นครศรีธรรมราช,05:00 น.,36
อบต.บ้านยา,ต.บ้านยา อ.หนองหาน จ.อุดรธานี,06:00 น.,36
ทต.ปง,ต.ปง อ.ปง จ.พะเยา,06:00 น.,35.2
บ้านปางมะโอ,ต.วังเงิน อ.แม่ทะ จ.ลำปาง,05:00 น.,35
บ้านขุนน้ำพริก,ต.นาไร่หลวง อ.สองแคว จ.น่าน,05:00 น.,34.5
บ้านแม่แอบ,ต.บ้านทับ อ.แม่แจ่ม จ.เชียงใหม่,05:00 น.,34.5
บ้านเปียงซ้อ,ต.ขุนน่าน อ.เฉลิมพระเกียรติ จ.น่าน,05:00 น.,34.5
สถานีฟาร์มตัวอย่างฯ บ้านลุตง,ต.ปากล่อ อ.โคกโพธิ์ จ.ปัตตานี,06:00 น.,34.2
บ้านยาบนาเลิม,ต.แม่ขะนิง อ.เวียงสา จ.น่าน,05:00 น.,34
บ้านปางคอม,ต.บ่อเบี้ย อ.บ้านโคก จ.อุตรดิตถ์,05:00 น.,33.5
บ้านห้วยบอน,ต.บ้านโหนด อ.สะบ้าย้อย จ.สงขลา,05:00 น.,33.5
บ้านม่วงเจริญราษฎร์,ต.บ่อสวก อ.เมืองน่าน จ.น่าน,04:00 น.,33.5
ทม.สะเดา,ต.สะเดา อ.สะเดา จ.สงขลา,06:00 น.,33.4
ชุมชนโกรกประดู่,ต.โคกกลาง อ.ลำปลายมาศ จ.บุรีรัมย์,06:00 น.,33.2
ทม.ตากใบ,ต.เจ๊ะเห อ.ตากใบ จ.นราธิวาส,06:00 น.,33
สะพานน้ำแม่สา,ต.โป่งแยง อ.แม่ริม จ.เชียงใหม่,06:00 น.,33
ทต.นาส่วง,ต.นาส่วง อ.เดชอุดม จ.อุบลราชธานี,06:00 น.,33
บ้านน้ำดั้น,ต.ภูคา อ.ปัว จ.น่าน,05:00 น.,33
บ้านแซะ,ต.สะกอม อ.เทพา จ.สงขลา,05:00 น.,33
โครงการพัฒนาราษฎรชาวไทยภูเขา ฯ บ้านปางคอง,ต.นาปู่ป้อม อ.ปางมะผ้า จ.แม่ฮ่องสอน,06:00 น.,32.8
ทต.เวียงป่าเป้า,ต.เวียง อ.เวียงป่าเป้า จ.เชียงราย,06:00 น.,32.6
อบต.ไม้รูด,ต.ไม้รูด อ.คลองใหญ่ จ.ตราด,06:00 น.,32.6
