ชื่อสถานี,ที่ตั้ง,เวลา,ฝนล่าสุด (มม.),lat,long
บ้านสมัยเหนือ,ต.สมัย อ.สบปราบ จ.ลำปาง,16:00 น.,1,17.90468061004946,99.41600203514099
บ้านดง*,ต.สาริกา อ.เมืองนครนายก จ.นครนายก,23:00 น.,3,14.32156513166611,101.30607426166534
บ้านวังรี,ต.เขาพระ อ.เมืองนครนายก จ.นครนายก,23:00 น.,3,14.333769013981707,101.19593739509583
สะพานวังแก่ง,ต.เขาเพิ่ม อ.บ้านนา จ.นครนายก,00:00 น.,1.2,14.364831861152707,101.09022617340088
บ้านถ้ำเต่า,ต.ท่าคล้อ อ.แก่งคอย จ.สระบุรี,22:00 น.,1,14.704057442038248,100.96799790859222
สตูล,ต.คลองขุด อ.เมืองสตูล จ.สตูล,22:00 น.,1.8,6.649997507273774,100.08333563804626
สะพานห้วยบังบาต,ต.หนองเดิ่น อ.บุ่งคล้า จ.บึงกาฬ,00:00 น.,5.2,18.28267449137665,103.88073205947876
ป่าต้นน้ำคลองมะเดื่อ อช.เขาใหญ่ (นางรอง),ต.สาริกา อ.เมืองนครนายก จ.นครนายก,00:00 น.,1,14.36930098143796,101.27120018005371
อบต.สะตอ,ต.สะตอ อ.เขาสมิง จ.ตราด,00:00 น.,30.2,12.536131613637986,102.44459688663483
เหนือปตร.ชลมาร์คพิจารณ์,ต.สามชุก อ.สามชุก จ.สุพรรณบุรี,21:00 น.,1.4,14.771168549864766,100.08841037750244
สะพานเขานางบวช,ต.ศรีนาวา อ.เมืองนครนายก จ.นครนายก,00:00 น.,0.4,14.245821792965605,101.27430617809296
ท้ายปตร.ชลมาร์คพิจารณ์,ต.สามชุก อ.สามชุก จ.สุพรรณบุรี,23:00 น.,0.2,14.770597964353385,100.08824408054352
หน่วยพิทักษ์อุทยานแห่งชาติที่ นค.๑ (บ้านคลองยน),ต.สำนักแต้ว อ.สะเดา จ.สงขลา,00:00 น.,32.2,6.533922268207,100.53862452507019
ทต.หนองเลิง,ต.หนองเลิง อ.บึงกาฬ จ.บึงกาฬ,18:00 น.,0.4,18.339143392115528,103.3976662158966
อบต.บึงกาฬ,ต.บึงกาฬ อ.บึงกาฬ จ.บึงกาฬ,00:00 น.,0.6,18.36503917665306,103.6541497707367
บ้านทุ่งปรือ,ต.พะตง อ.หาดใหญ่ จ.สงขลา,17:00 น.,42.5,6.815909341697662,100.55419206619263
บ้านรังเตี้ย,ต.นิยมชัย อ.สระโบสถ์ จ.ลพบุรี,21:00 น.,0.5,15.21077462726316,100.9330004453659
บ้านเขาหัวนา,ต.เขาเพิ่ม อ.บ้านนา จ.นครนายก,23:00 น.,3,14.344969181592884,101.11380815505981
บ้านบึงไม้,ต.ชะอม อ.แก่งคอย จ.สระบุรี,23:00 น.,4,14.417774793779659,101.1468905210495
บ้านโกรกอีดก,ต.ชะอม อ.แก่งคอย จ.สระบุรี,00:00 น.,1.4,14.441599949010827,101.17280066013336
มัสยิดกาวมินมูฮายีริน,ต.ปาล์มพัฒนา อ.มะนัง จ.สตูล,00:00 น.,58.6,7.088324249082689,100.00195741653442
บ้านโป่งก้อนเส้า,ต.ท่ามะปราง อ.แก่งคอย จ.สระบุรี,23:00 น.,3,14.491636931224315,101.13600075244904
บ้านบางหยด,ต.อิปัน อ.พระแสง จ.สุราษฎร์ธานี,17:00 น.,0.5,8.541172715205496,99.20499801635742
อบต.ลานสัก,ต.ลานสัก อ.ลานสัก จ.อุทัยธานี,23:00 น.,0.2,15.472789413248664,99.53971087932587
ที่ทำการน้ำตกนางรอง,ต.นาหินลาด อ.ปากพลี จ.นครนายก,23:00 น.,0.5,14.333358417064783,101.3209980726242
จุดวัด ค.สิบสอง-ถ.ประชาสำราญ,ต.คลองสิบสอง อ.หนองจอก จ.กรุงเทพมหานคร,00:00 น.,0.5,13.913682592885701,100.86244225502014
บ้านเมืองปอน,ต.เมืองปอน อ.ขุนยวม จ.แม่ฮ่องสอน,23:00 น.,0.5,18.745997074908,97.92700052261353
ทต.เกาะช้าง,ต.เกาะช้าง อ.เกาะช้าง จ.ตราด,00:00 น.,15.6,12.10338750337159,102.35199630260468
รพสต.บ้านลำกะ,ต.ชุมพล อ.ศรีนครินทร์ จ.พัทลุง,00:00 น.,32.4,7.583800128974899,99.97161090373993
สะพานเตาปูน-ตาลเดี่ยว,ต.ตาลเดี่ยว อ.แก่งคอย จ.สระบุรี,00:00 น.,0.8,14.580146598927545,100.96616327762604
บ้านขุนแม่ลาน้อย,ต.ขุนแม่ลาน้อย อ.แม่ลาน้อย จ.แม่ฮ่องสอน,23:00 น.,18.5,18.622216842036092,98.1119978427887
บ้านนาคันหัก,ต.พระเพลิง อ.เขาฉกรรจ์ จ.สระแก้ว,19:00 น.,51,13.608059259838063,102.04922318458557
หน่วยพิทักษ์อุทยานแห่งชาติที่ ขญ.๑๗ (กลางดง),ต.พญาเย็น อ.ปากช่อง จ.นครราชสีมา,00:00 น.,3.6,14.549607111406168,101.26519203186035
พระแสง,ต.ไทรขึง อ.พระแสง จ.สุราษฎร์ธานี,00:00 น.,0.2,8.537438031212913,99.18096005916595
ภูเก็ต,ต.ตลาดใหญ่ อ.เมืองภูเก็ต จ.ภูเก็ต,16:00 น.,0.2,7.883335308018686,98.39999735355377
บ้านตาบาด,ต.บ่อพลอย อ.บ่อไร่ จ.ตราด,23:00 น.,4.5,12.601218641146362,102.567999958992
บ้านเขาเกตุ,ต.ทับกวาง อ.แก่งคอย จ.สระบุรี,23:00 น.,5.5,14.570401629340248,101.07699751853943
เชียงใหม่,ต.ศรีภูมิ อ.เมืองเชียงใหม่ จ.เชียงใหม่,22:00 น.,0.4,18.789998071827366,98.9769458770752
อบต.ปากพนังฝั่งตะวันออก,ต.ปากพนังฝั่งตะวันออก อ.ปากพนัง จ.นครศรีธรรมราช,00:00 น.,3.6,8.388190681802545,100.23187637329102
เหนือปตร.บรมธาตุ,ต.ชัยนาท อ.เมืองชัยนาท จ.ชัยนาท,22:00 น.,2.4,15.158133538428023,100.153529047966
สามชุก,ต.สามชุก อ.สามชุก จ.สุพรรณบุรี,21:00 น.,1,14.751368358666149,100.0958776473999
