ชื่อสถานี,ที่ตั้ง,เวลา,ฝนล่าสุด (มม.),lat,long
แม่น้ำชี บ้านหินกอง,ต.โนนสมบูรณ์ อ.บ้านแฮด จ.ขอนแก่น,05:00 น.,113,16.248730274046427,102.74730026721954
ร้อยเอ็ด สกษ.,ต.เหนือเมือง อ.เมืองร้อยเอ็ด จ.ร้อยเอ็ด,22:00 น.,34.2,16.073222964129393,103.60844492912292
บ้านใสเขือ,ต.เขาพระ อ.พิปูน จ.นครศรีธรรมราช,17:00 น.,3,8.620860229635408,99.59500193595886
ปตร.จุฬาลงกรณ์,ต.ประชาธิปัตย์ อ.ธัญบุรี จ.ปทุมธานี,00:00 น.,5,13.98135353549452,100.60566365718842
คลองสำโรง บางเสาธง,ต.บางเสาธง อ.บางเสาธง จ.สมุทรปราการ,04:00 น.,0.8,13.589132309161357,100.80248951911926
ท่าขนอม,ต.ท่าขนอน อ.คีรีรัฐนิคม จ.สุราษฎร์ธานี,00:00 น.,15.6,9.029426921203424,98.96966636180878
บ้านปากคู,ต.บ้านยาง อ.คีรีรัฐนิคม จ.สุราษฎร์ธานี,23:00 น.,3,9.068147493503181,98.98276090621948
ท่ายาง,ต.กลัดหลวง อ.ท่ายาง จ.เพชรบุรี,17:00 น.,43,12.813459494327788,99.79406476020813
นำร่อง,ต.แหลมฟ้าผ่า อ.พระสมุทรเจดีย์ จ.สมุทรปราการ,19:00 น.,60.2,13.393888369420669,100.5994462966919
สะพานบ้านสวนปราง,ต.คลองสระ อ.กาญจนดิษฐ์ จ.สุราษฎร์ธานี,00:00 น.,43.2,9.02127859522235,99.63304102420807
บ้านวัดสวาด,ต.ป่าร่อน อ.กาญจนดิษฐ์ จ.สุราษฎร์ธานี,23:00 น.,20.5,9.026226950860305,99.56095397472382
บ้านชโลดมพัฒนา,ต.นาใต้ อ.บ้านนาเดิม จ.สุราษฎร์ธานี,23:00 น.,1,8.890398170585918,99.32723701000214
อบต.นากะซะ,ต.นากะชะ อ.ฉวาง จ.นครศรีธรรมราช,00:00 น.,53,8.426951304802266,99.44588720798492
สะพานห้วยน้ำใส,ต.เกาะขันธ์ อ.ชะอวด จ.นครศรีธรรมราช,00:00 น.,2.8,7.889541687744992,99.8742413520813
บ้านน้ำน้อยเหนือ,ต.ช้างกลาง อ.ช้างกลาง จ.นครศรีธรรมราช,21:00 น.,2,8.383584150471545,99.61928129196167
บ้านสวนปราง,ต.คลองสระ อ.กาญจนดิษฐ์ จ.สุราษฎร์ธานี,23:00 น.,52,9.014878480718412,99.64100182056427
รพ.สต.เวียงสระ,ต.เวียงสระ อ.เวียงสระ จ.สุราษฎร์ธานี,00:00 น.,4.4,8.655948606579676,99.29932057857513
สมุทรปราการ สกษ.,ต.บางปู อ.เมืองสมุทรปราการ จ.สมุทรปราการ,22:00 น.,10.1,13.516669330490046,100.7616662979126
บ้านต้นมะพร้าว,ต.ถ้ำสิงขร อ.คีรีรัฐนิคม จ.สุราษฎร์ธานี,23:00 น.,2,9.014539398556671,99.04858767986298
ฉวาง,ต.ไม้เรียง อ.ฉวาง จ.นครศรีธรรมราช,22:00 น.,13.9,8.431944690279009,99.5119446516037
อบต.วังหมี,ต.วังหมี อ.วังน้ำเขียว จ.นครราชสีมา,13:00 น.,24.4,14.415660227092047,101.68402433395386
บ้านโป่งนก,ต.ด่านมะขามเตี้ย อ.ด่านมะขามเตี้ย จ.กาญจนบุรี,17:00 น.,0.5,13.786398504308181,99.31099891662598
บ้านตากฟ้า,ต.ปางตาไว อ.ปางศิลาทอง จ.กำแพงเพชร,23:00 น.,0.5,15.974191737999375,99.3800014257431
ฝายคลองท่าเลา,ต.นาหลวงเสน อ.ทุ่งสง จ.นครศรีธรรมราช,00:00 น.,1,8.232626560423926,99.70778346061707
บ้านท่าแพ,ต.ช้างกลาง อ.ช้างกลาง จ.นครศรีธรรมราช,23:00 น.,16.5,8.350063098036868,99.67700242996216
บ้านน้ำพุ,ต.คอกควาย อ.บ้านไร่ จ.อุทัยธานี,17:00 น.,14,15.248890829302006,99.4679993391037
บ้านห้วยตะวาย,ต.ท่าไม้รวก อ.ท่ายาง จ.เพชรบุรี,17:00 น.,0.5,12.812141321830824,99.80100095272064
ร้อยเอ็ด,ต.หนองไผ่ อ.ธวัชบุรี จ.ร้อยเอ็ด,22:00 น.,24,16.019998565032548,103.74389111995697
ห้วยโป่ง สกษ.,ต.มาบตาพุด อ.เมืองระยอง จ.ระยอง,04:00 น.,21,12.733331395705711,101.13333463668823
