ชื่อสถานี,ที่ตั้ง,เวลา,ฝนล่าสุด (มม.),lat,long
บ้านน้ำสอด,ต.และ อ.ทุ่งช้าง จ.น่าน,23:00 น.,202,19.448828383100253,100.82900047302246
บ้านก่อก๋วง,ต.บ่อเกลือใต้ อ.บ่อเกลือ จ.น่าน,14:00 น.,10,19.181043719488734,101.12100183963776
บ้านสว้านเหนือ,ต.ดงพญา อ.บ่อเกลือ จ.น่าน,14:00 น.,7.5,19.23526274448346,101.19100213050842
บ้านผาหลัก,ต.ยอด อ.สองแคว จ.น่าน,14:00 น.,4.5,19.38391716788506,100.60400068759918
ส.คลองแสนแสบ-คลองตัน,ต.คลองตันเหนือ อ.วัฒนา จ.กรุงเทพมหานคร,12:00 น.,5,13.741099472312527,100.59639930725098
ส.คลองเจ้าคุณสิงห์,ต.วังทองหลาง อ.วังทองหลาง จ.กรุงเทพมหานคร,15:00 น.,0.5,13.761598188456308,100.61524987220764
เขตวัฒนา,ต.คลองตันเหนือ อ.วัฒนา จ.กรุงเทพมหานคร,11:00 น.,7.5,13.742480352164254,100.58570802211761
บ้านแม่เทินเหนือ,ต.แม่สิน อ.ศรีสัชนาลัย จ.สุโขทัย,14:00 น.,72,17.75894540313445,99.7869998216629
เขตวังทองหลาง,ต.วังทองหลาง อ.วังทองหลาง จ.กรุงเทพมหานคร,15:00 น.,0.5,13.76434927766517,100.60552954673767
ส.คลองสามเสน-แสนแสบ,ต.บางกะปิ อ.ห้วยขวาง จ.กรุงเทพมหานคร,12:00 น.,3.5,13.7484206485213,100.59919953346252
ศูนย์สาธิตพัฒนาฯ การใช้หญ้าแฝกด้านป่าไม้ที่ ๒,ต.แม่สิน อ.ศรีสัชนาลัย จ.สุโขทัย,15:00 น.,54.6,17.653162168868427,99.60403025150299
หน่วยศึกษาการพัฒนาการอนุรักษ์ต้นน้ำแม่สูง,ต.นาพูน อ.วังชิ้น จ.แพร่,15:00 น.,53.6,17.80432616510933,99.82809126377106
จุดวัดสวนเบญจสิริ,ต.คลองตัน อ.คลองเตย จ.กรุงเทพมหานคร,11:00 น.,4.5,13.731589418308944,100.56744754314423
บ้านม่วงเจริญราษฎร์,ต.บ่อสวก อ.เมืองน่าน จ.น่าน,14:00 น.,57.5,18.738199325856534,100.68300247192383
บ้านแม่สิน,ต.นาพูน อ.วังชิ้น จ.แพร่,14:00 น.,79.5,17.802293371173157,99.85799789428711
จุดวัด ค.แสนแสบ-เขตบางกะปิ,ต.หัวหมาก อ.บางกะปิ จ.กรุงเทพมหานคร,12:00 น.,2,13.76528193106894,100.64773142337799
ประปาหมู่บ้านมหาราช,ต.แม่พูล อ.ลับแล จ.อุตรดิตถ์,15:00 น.,50,17.744727065631768,100.00750958919525
บ้านปันเจน,ต.แม่เกิ๋ง อ.วังชิ้น จ.แพร่,13:00 น.,63.5,17.936096733591235,99.58300173282623
บ้านนาเวียง,ต.วังชิ้น อ.วังชิ้น จ.แพร่,14:00 น.,49.5,17.900913363687984,99.60599899291992
บ้านแม่จอก,ต.แม่ป้าก อ.วังชิ้น จ.แพร่,14:00 น.,84.5,17.978595328095437,99.63600218296051
กรุงเทพมหานคร,ต.คลองเตย อ.คลองเตย จ.กรุงเทพมหานคร,10:00 น.,22.3,13.726388688255062,100.56000173091888
คลองแสนแสบ บางกะปิ,ต.หัวหมาก อ.บางกะปิ จ.กรุงเทพมหานคร,15:00 น.,0.8,13.761332456463677,100.61600089073181
บ้านทุ่งผง,ต.ทุ่งศรีทอง อ.เวียงสา จ.น่าน,14:00 น.,50,18.65339146864868,100.68400025367737
บ้านคลองพระยา,ต.ปลายพระยา อ.ปลายพระยา จ.กระบี่,00:00 น.,49,8.485636744266479,98.89432847499847
ปตร.คลองแสนแสบ-บางชัน,ต.สะพานสูง อ.สะพานสูง จ.กรุงเทพมหานคร,12:00 น.,1.5,13.79733898280014,100.70450842380524
บ้านดอนชัย,ต.แม่ทา อ.แม่ออน จ.เชียงใหม่,14:00 น.,107.5,18.582565522709242,99.26299810409546
เขตสะพานสูง,ต.สะพานสูง อ.สะพานสูง จ.กรุงเทพมหานคร,15:00 น.,0.5,13.768809308505025,100.68544864654541
บ้านนาหลวง,ต.สะเอียบ อ.สอง จ.แพร่,14:00 น.,51,18.742004265871977,100.30900061130524
บ้านยาบนาเลิม,ต.แม่ขะนิง อ.เวียงสา จ.น่าน,14:00 น.,47,18.6796869547866,100.56899785995483
บ้านขุนห้วย,ต.แม่พุง อ.วังชิ้น จ.แพร่,14:00 น.,54.5,17.903802613966423,99.54200148582458
บ้านนาเคียน,ต.ตาลชุม อ.เวียงสา จ.น่าน,14:00 น.,44.5,18.62826617380384,100.8050000667572
อบต.วังชิ้น,ต.วังชิ้น อ.วังชิ้น จ.แพร่,15:00 น.,44.2,17.87885448080051,99.61926519870758
บ้านนาพูน,ต.นาพูน อ.วังชิ้น จ.แพร่,14:00 น.,62,17.832129207419705,99.76299941539764
บ้านโป่งสอ,ต.น้ำกุ่ม อ.นครไทย จ.พิษณุโลก,14:00 น.,0.5,17.39749870885482,100.88400185108185
บ้านหนองขาหยั่ง,ต.คลองตะเกรา อ.ท่าตะเกียบ จ.ฉะเชิงเทรา,14:00 น.,41.5,13.323689201932634,101.67521595954895
บ้านมอเสือดุ,ต.เพชรชมภู อ.โกสัมพีนคร จ.กำแพงเพชร,14:00 น.,52.5,16.55715005705601,99.36500251293182
อบต.คลองหิน,ต.คลองหิน อ.อ่าวลึก จ.กระบี่,15:00 น.,46.2,8.284190842832158,98.79711449146271
กรุงเทพฯ ท่าเรือคลองเตย,ต.คลองเตย อ.คลองเตย จ.กรุงเทพมหานคร,13:00 น.,1.8,13.706944858531026,100.56805372238159
เขตบึงกุ่ม,ต.คลองกุ่ม อ.บึงกุ่ม จ.กรุงเทพมหานคร,15:00 น.,2,13.785502404060805,100.6694895029068
