ชื่อสถานี,ที่ตั้ง,เวลา,ฝนล่าสุด (มม.)
สถานีบ้านวังหาด,ต.ตลิ่งชัน อ.บ้านด่านลานหอย จ.สุโขทัย ,05:00 ,91
สถานีบ้านสันติคีรี,ต.แม่สลองนอก อ.แม่ฟ้าหลวง จ.เชียงราย ,05:00 ,76
สถานีบ้านเด่นฮ่อม,ต.บ่อแก้ว อ.สะเมิง จ.เชียงใหม่ ,05:00 ,75.5
สถานีบ้านใหม่เจริญผล,ต.หนองจิก อ.คีรีมาศ จ.สุโขทัย ,05:00 ,73
สถานีบ้านห้วยชมภู (บ้านป่าคาหลวง),ต.ท่าก๊อ อ.แม่สรวย จ.เชียงราย ,05:00 ,70.5
สถานีสะพานห้วยแม่ถาบ้านปาหุ่ง,ต.ยาบหัวนา อ.เวียงสา จ.น่าน ,06:00 ,66.2
สถานีบ้านนาหลวง,ต.สะเอียบ อ.สอง จ.แพร่ ,22:00 ,66
สถานีบ้านห้วยสลัก,ต.ป่าแดด อ.แม่สรวย จ.เชียงราย ,05:00 ,59.5
สถานีบ้านห้วยน้ำจาง,ต.บ่อแก้ว อ.สะเมิง จ.เชียงใหม่ ,05:00 ,57
สถานีบ้านเปียงกอก,ต.ม่อนปิ่น อ.ฝาง จ.เชียงใหม่ ,05:00 ,56.5
สถานีเกาะลันตา,ต.เกาะลันตาใหญ่ อ.เกาะลันตา จ.กระบี่ ,04:00 ,56
สถานียอดเขาหลวง (อุทยานแห่งชาติรามคำแหง),ต.ศรีคีรีมาศ อ.คีรีมาศ จ.สุโขทัย ,06:00 ,54.6
สถานีบ้านพญากองดี,ต.ศรีถ้อย อ.แม่สรวย จ.เชียงราย ,05:00 ,54.5
สถานีบ้านร้องธาร,ต.ศรีดงเย็น อ.ไชยปราการ จ.เชียงใหม่ ,05:00 ,52.5
สถานีบ้านสันติสุข (บ้านกิ่วสะไต),ต.ป่าตึง อ.แม่จัน จ.เชียงราย ,05:00 ,51.5
สถานีภูเก็ต,ต.ตลาดใหญ่ อ.เมืองภูเก็ต จ.ภูเก็ต ,04:00 ,48.9
สถานีทต.บุ่งค้า,ต.บุ่งค้า อ.เลิงนกทา จ.ยโสธร ,06:00 ,48.8
สถานีบ้านปางฮ่าง,ต.สบเปิง อ.แม่แตง จ.เชียงใหม่ ,05:00 ,47.5
สถานีบ้านแม่กระต๋อม,ต.ป่าสัก อ.วังชิ้น จ.แพร่ ,05:00 ,47
สถานีรร.บ้านช้างเชื่อ,ต.เหล อ.กะปง จ.พังงา ,06:00 ,46.2
สถานีทต.กลางเวียง,ต.กลางเวียง อ.เวียงสา จ.น่าน ,06:00 ,45.4
สถานีบ้านป่าสักงาม,ต.ดงมหาวัน อ.เวียงเชียงรุ้ง จ.เชียงราย ,22:00 ,44
สถานีทต.โพทะเล,ต.โพทะเล อ.โพทะเล จ.พิจิตร ,06:00 ,43.8
สถานีตะกั่วป่า,ต.ตำตัว อ.ตะกั่วป่า จ.พังงา ,06:00 ,43.6
สถานีบ้านห้วยม่วง,ต.นาดินดำ อ.เมืองเลย จ.เลย ,05:00 ,43.5
สถานีบ้านสหกรณ์แปลง 5,ต.ป่าตุ้ม อ.พร้าว จ.เชียงใหม่ ,05:00 ,43
สถานีทม.ระนอง,ต.เขานิเวศน์ อ.เมืองระนอง จ.ระนอง ,06:00 ,42.6
สถานีลำพูน,ต.เวียงยอง อ.เมืองลำพูน จ.ลำพูน ,04:00 ,42.3
สถานีบ้านแม่ดอกแดง,ต.เชิงดอย อ.ดอยสะเก็ด จ.เชียงใหม่ ,05:00 ,41.5
สถานีทต.ปากน้ำ,ต.ปากน้ำ อ.เมืองระนอง จ.ระนอง ,06:00 ,41
สถานีตลาดเก่าตะกั่วป่า,ต.โคกเคียน อ.ตะกั่วป่า จ.พังงา ,06:00 ,40.8
สถานีบ้านน้ำริน,ต.สบป่อง อ.ปางมะผ้า จ.แม่ฮ่องสอน ,05:00 ,40.5
สถานีบ้านรวมมิตร,ต.แม่ยาว อ.เมืองเชียงราย จ.เชียงราย ,05:00 ,39
สถานีบ้านสบป่อง,ต.ปางมะผ้า อ.ปางมะผ้า จ.แม่ฮ่องสอน ,05:00 ,39
สถานีบ้านโป่งน้ำร้อน,ต.ดอยฮาง อ.เมืองเชียงราย จ.เชียงราย ,05:00 ,38.5
สถานีบ้านแม่รากกลาง,ต.บ้านตึก อ.ศรีสัชนาลัย จ.สุโขทัย ,05:00 ,38.5
สถานีบ้านปันเจน,ต.แม่เกิ๋ง อ.วังชิ้น จ.แพร่ ,05:00 ,38
สถานีบ้านขุนห้วย,ต.แม่พุง อ.วังชิ้น จ.แพร่ ,05:00 ,37.5
สถานีบ้านอังคาย,ต.ยั้งเมิน อ.สะเมิง จ.เชียงใหม่ ,05:00 ,37
สถานีสะพานห้วยน้ำสาย,ต.ตาลชุม อ.ท่าวังผา จ.น่าน ,06:00 ,37
สถานีอบต.ด่านจาก,ต.ด่านจาก อ.โนนไทย จ.นครราชสีมา ,06:00 ,36
สถานีบ้านสามพวง 1*,ต.สามพวง อ.คีรีมาศ จ.สุโขทัย ,05:00 ,36
สถานีบ้านแม่ทุเลาใน,ต.กลางดง อ.ทุ่งเสลี่ยม จ.สุโขทัย ,05:00 ,36
สถานีบ้านปางกล้วยค้าว,ต.ป่าหุ่ง อ.พาน จ.เชียงราย ,05:00 ,35.5
สถานีหน่วยจัดการต้นน้ำแม่เผอะ (อ่างขาง),ต.แม่งอน อ.ฝาง จ.เชียงใหม่ ,06:00 ,35.4
สถานีบ้านปางแปก,ต.แม่นาเติง อ.ปาย จ.แม่ฮ่องสอน ,05:00 ,35
สถานีบ้านห้วยเฮี่ยน,ต.โป่งน้ำร้อน อ.ฝาง จ.เชียงใหม่ ,05:00 ,35
สถานีบ้านเชิงผา,ต.กลางดง อ.ทุ่งเสลี่ยม จ.สุโขทัย ,05:00 ,34.5
สถานีบ้านม่วงเจริญราษฎร์,ต.บ่อสวก อ.เมืองน่าน จ.น่าน ,05:00 ,34.5
สถานีอบต.โนนขวาง,ต.โนนขวาง อ.บ้านด่าน จ.บุรีรัมย์ ,06:00 ,34.4
สถานีบ้านแกน้อย,ต.แม่นะ อ.เชียงดาว จ.เชียงใหม่ ,05:00 ,34
สถานีหน่วยจัดการต้นน้ำดอยถ้วย,ต.เมืองนะ อ.เชียงดาว จ.เชียงใหม่ ,06:00 ,33.8
สถานีอบต.พิกุล,ต.พิกุล อ.ชุมแสง จ.นครสวรรค์ ,06:00 ,33.4
สถานีบ้านห้วยละเบ้ายา,ต.สะเนียน อ.เมืองน่าน จ.น่าน ,05:00 ,33
สถานีบ้านผาใต้,ต.ห้วยชมภู อ.เมืองเชียงราย จ.เชียงราย ,05:00 ,33
สถานีสะพานข้ามคลองเกรียงไกร,ต.บางเคียน อ.ชุมแสง จ.นครสวรรค์ ,06:00 ,32.8
สถานีที่ทำการเขตรักษาพันธุ์สัตว์ป่าดอยผาช้าง,ต.งิม อ.ปง จ.พะเยา ,06:00 ,32.6
สถานีบ้านนาหวาย,ต.แม่นะ อ.เชียงดาว จ.เชียงใหม่ ,05:00 ,32.5
สถานีบ้านมอล่อง,ต.แม่สลองใน อ.แม่ฟ้าหลวง จ.เชียงราย ,05:00 ,32.5
สถานีสุโขทัย,ต.วังใหญ่ อ.ศรีสำโรง จ.สุโขทัย ,04:00 ,32.5
สถานีชุมชนบ้านห้วยทราย,ต.เขื่อนผาก อ.พร้าว จ.เชียงใหม่ ,06:00 ,32.2
สถานีบ้านอากู่,ต.เทอดไทย อ.แม่ฟ้าหลวง จ.เชียงราย ,05:00 ,32
สถานีบ้านบางหวาน,ต.กมลา อ.กะทู้ จ.ภูเก็ต ,05:00 ,31.5
สถานีชุมแสง,ต.เกยไชย อ.ชุมแสง จ.นครสวรรค์ ,06:00 ,31.4
สถานีบ้านป่าสักงาม,ต.ลวงเหนือ อ.ดอยสะเก็ด จ.เชียงใหม่ ,05:00 ,31
สถานีหน่วยจัดการต้นน้ำบ่อแก้ว,ต.แม่นาจร อ.แม่แจ่ม จ.เชียงใหม่ ,06:00 ,30.8
สถานีบ้านขุนป๋วย,ต.แม่วิน อ.แม่วาง จ.เชียงใหม่ ,05:00 ,30.5
สถานีบ้านเขาน้ำเพชร,ต.คลองแม่ลาย อ.เมืองกำแพงเพชร จ.กำแพงเพชร ,05:00 ,30.5
สถานีบ้านเขาเกตุ,ต.ทับกวาง อ.แก่งคอย จ.สระบุรี ,05:00 ,30
สถานีบ้านหลวง,ต.แม่งอน อ.ฝาง จ.เชียงใหม่ ,05:00 ,30
