ชื่อสถานี,ที่ตั้ง,เวลา,ฝนล่าสุด (มม.)
สถานีบ้านละแอ,ต.ละแอ อ.ยะหา จ.ยะลา ,05:00 ,97
สถานีสะพานนวลฉวี,ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี ,06:00 ,94.8
สถานีอบต.บึงกาฬ,ต.บึงกาฬ อ.บึงกาฬ จ.บึงกาฬ ,06:00 ,89.8
สถานีบ้านหนองปลา,ต.ท่าหิน อ.สวี จ.ชุมพร ,06:00 ,86
สถานีวังวิเศษ,ต.เขาวิเศษ อ.วังวิเศษ จ.ตรัง ,06:00 ,83.8
สถานีบ้านตาบาด,ต.บ่อพลอย อ.บ่อไร่ จ.ตราด ,06:00 ,79.5
สถานีจุดวัด ค.บางนา-ถ.ศรีนครินทร์,ต.บางนา อ.บางนา จ.กรุงเทพมหานคร ,06:00 ,78.5
สถานีบ้านห้วยน้ำขาว,ต.บ้านเก่า อ.เมืองกาญจนบุรี จ.กาญจนบุรี ,06:00 ,75
สถานีบ้านมะม่วง,ต.นนทรีย์ อ.บ่อไร่ จ.ตราด ,05:00 ,71.5
สถานีบ้านแก่งแคบ,ต.ท่ากระดาน อ.ศรีสวัสดิ์ จ.กาญจนบุรี ,05:00 ,70.5
สถานีบ้านจันทิ,ต.ท่ากุ่ม อ.เมืองตราด จ.ตราด ,05:00 ,70.5
สถานีบ้านห้วยกลาง,ต.กะทูน อ.พิปูน จ.นครศรีธรรมราช ,06:00 ,66.5
สถานีทต.ไชยมงคล,ต.ไชยมงคล อ.เมืองนครราชสีมา จ.นครราชสีมา ,06:00 ,65.6
สถานีส.คลองสำโรง,ต.เทพารักษ์ อ.เมืองสมุทรปราการ จ.สมุทรปราการ ,06:00 ,63.5
สถานีบ้านโคกสง่า,ต.หนองสาหร่าย อ.ปากช่อง จ.นครราชสีมา ,06:00 ,63
สถานีบ้านเคี่ยมเพาะ,ต.ปากฉลุย อ.ท่าฉาง จ.สุราษฎร์ธานี ,06:00 ,61
สถานีทต.หนองบอน,ต.หนองบอน อ.บ่อไร่ จ.ตราด ,06:00 ,60
สถานีหน่วยจัดการต้นน้ำตาปี,ต.ตะกุกใต้ อ.วิภาวดี จ.สุราษฎร์ธานี ,06:00 ,59.6
สถานีกรุงเทพมหานคร,ต.คลองเตย อ.คลองเตย จ.กรุงเทพมหานคร ,04:00 ,57.2
สถานีจุดวัดสวนเบญจสิริ,ต.คลองตัน อ.คลองเตย จ.กรุงเทพมหานคร ,06:00 ,57
สถานีอบต.เทพนิมิต,ต.เทพนิมิต อ.โป่งน้ำร้อน จ.จันทบุรี ,06:00 ,55.4
สถานีบ้านนอก,ต.ตาชี อ.ยะหา จ.ยะลา ,05:00 ,55
สถานีโครงการจุฬาภรณ์พัฒนา 7 อ.ธารโต จ.ยะลา,ต.แม่หวาด อ.ธารโต จ.ยะลา ,05:00 ,54
สถานีองค์การบริหารส่วนตำบลตาชี,ต.ตาชี อ.ยะหา จ.ยะลา ,06:00 ,53.8
สถานีบ้านท่านหญิง,ต.ตะกุกเหนือ อ.วิภาวดี จ.สุราษฎร์ธานี ,02:00 ,53
สถานีสะพานคลองพาย,ต.น้ำหัก อ.คีรีรัฐนิคม จ.สุราษฎร์ธานี ,06:00 ,52.6
สถานีบ้านเผี่ยนบน,ต.เทพราช อ.สิชล จ.นครศรีธรรมราช ,06:00 ,52.5
สถานีบ้านหนองบอน,ต.หนองบอน อ.บ่อไร่ จ.ตราด ,06:00 ,52.5
สถานีบ้านหน้าซึง,ต.ปากฉลุย อ.ท่าฉาง จ.สุราษฎร์ธานี ,05:00 ,51
สถานีบ้านบูโล๊ะสะนีแย,ต.บ้านแหร อ.ธารโต จ.ยะลา ,20:00 ,50.5
สถานีบ้านดงบัง,ต.มหาไชย อ.สมเด็จ จ.กาฬสินธุ์ ,06:00 ,49.5
สถานีบ้านหินดาดทอง,ต.หนองรี อ.บ่อพลอย จ.กาญจนบุรี ,06:00 ,49
สถานีทต.บูเก๊ะตา,ต.โละจูด อ.แว้ง จ.นราธิวาส ,06:00 ,48.6
สถานีอ่างเก็บน้ำห้วยดินทราย,ต.หนองแวง อ.ละหานทราย จ.บุรีรัมย์ ,06:00 ,48.4
สถานีบ้านวังชุมทอง,ต.วังใหม่ อ.วังสมบูรณ์ จ.สระแก้ว ,05:00 ,48
สถานีบ้านจันทรัตน์,ต.ยะรม อ.เบตง จ.ยะลา ,05:00 ,47.5
สถานีบ้านหนองตำเสา,ต.ถ้ำสิงห์ อ.เมืองชุมพร จ.ชุมพร ,06:00 ,47.5
สถานีส.คลองเจ้าคุณสิงห์,ต.วังทองหลาง อ.วังทองหลาง จ.กรุงเทพมหานคร ,06:00 ,47.5
สถานีบ้านตะเคียนงาม,ต.บ้านเก่า อ.เมืองกาญจนบุรี จ.กาญจนบุรี ,06:00 ,47
สถานีอบต.ด่านชุมพล,ต.ด่านชุมพล อ.บ่อไร่ จ.ตราด ,06:00 ,46.6
