ชื่อสถานี,ที่ตั้ง,เวลา,ฝนล่าสุด (มม.),lat,long
บ้านอมพาย,ต.ป่าแป๋ อ.แม่สะเรียง จ.แม่ฮ่องสอน,19:00 น.,24,18.298250094472394,98.17199885845184
อบต.บ่อทอง,ต.บ่อทอง อ.บ่อทอง จ.ชลบุรี,00:00 น.,11,13.2416791395524,101.48822844028473
ทต.ศรีสงคราม,ต.ศรีสงคราม อ.ศรีสงคราม จ.นครพนม,19:00 น.,0.2,17.626998045813888,104.2614072561264
บ้านข่วงบุก,ต.ห้วยไร่ อ.เด่นชัย จ.แพร่,00:00 น.,2,17.88634898887624,100.04000186920166
อบต.ด่านม่วงคำ,ต.ด่านม่วงคำ อ.โคกศรีสุพรรณ จ.สกลนคร,23:00 น.,0.2,17.079245919564336,104.32588219642639
อบต.นาโพธิ์กลาง,ต.นาโพธิ์กลาง อ.โขงเจียม จ.อุบลราชธานี,00:00 น.,9.4,15.560386774053205,105.50188601016998
อบต.หนองกง,ต.หนองกง อ.นางรอง จ.บุรีรัมย์,20:00 น.,0.2,14.694603367299644,102.8882771730423
บ้านทาทุ่งไผ่*,ต.ทาปลาดุก อ.แม่ทา จ.ลำพูน,19:00 น.,0.5,18.52809919508312,99.23399806022644
แม่น้ำมูล ท้ายแก่งสะพือ (M.11B),ต.กุดชมภู อ.พิบูลมังสาหาร จ.อุบลราชธานี,23:00 น.,28,15.237349036372368,105.24523079395294
ทต.วังใหม่,ต.วังใหม่ อ.เมืองชุมพร จ.ชุมพร,00:00 น.,21,10.503825754504339,98.98582398891449
บ้านปลายคลองวัน,ต.ปากจั่น อ.กระบุรี จ.ระนอง,00:00 น.,32,10.510740579784967,98.85878384113312
บ้านชมภูเหนือ,ต.ชมพู อ.เนินมะปราง จ.พิษณุโลก,15:00 น.,11,16.695949005896747,100.65299928188324
ภูเก็ต,ต.ตลาดใหญ่ อ.เมืองภูเก็ต จ.ภูเก็ต,22:00 น.,20.4,7.883335308018686,98.39999735355377
อบต.ขะยูง,ต.ขะยูง อ.อุทุมพรพิสัย จ.ศรีสะเกษ,00:00 น.,1.8,15.121927416109157,104.24140334129333
บ้านกลุ่มตาขวัญ,ต.คลองไก่เถื่อน อ.คลองหาด จ.สระแก้ว,00:00 น.,8,13.339046035920902,102.31078147888184
สะพานข้ามน้ำมูล,ต.โขงเจียม อ.โขงเจียม จ.อุบลราชธานี,00:00 น.,33,15.310496707957482,105.49311518669128
บ้านหมาก,ต.มวกเหล็ก อ.มวกเหล็ก จ.สระบุรี,15:00 น.,20,14.689004411310385,101.19799733161926
อบต.นาตาล,ต.นาตาล อ.นาตาล จ.อุบลราชธานี,00:00 น.,22,15.901677652004713,105.27872622013092
ทต.บ้านนา,ต.บ้านนา อ.แกลง จ.ระยอง,00:00 น.,7.6,12.826844831138816,101.66963696479797
บ้านเหวปลากั้ง,ต.หมูสี อ.ปากช่อง จ.นครราชสีมา,16:00 น.,1,14.550141926737101,101.3129997253418
บ้านสุเม่นเหนือ,ต.แม่สิน อ.ศรีสัชนาลัย จ.สุโขทัย,00:00 น.,2,17.73185652874667,99.64600145816803
เมืองศรีสะเกษ,ต.เมืองเหนือ อ.เมืองศรีสะเกษ จ.ศรีสะเกษ,00:00 น.,2,15.118126243102001,104.31859731674194
บ้านว่านเหลือง,ต.ชากไทย อ.เขาคิชฌกูฏ จ.จันทบุรี,22:00 น.,1,12.809269565401573,102.07200050354004
วังทอง,ต.วังทอง อ.วังทอง จ.พิษณุโลก,17:00 น.,0.2,16.822169874937703,100.431609749794
อบต.ท่าเกวียน,ต.ท่าเกวียน อ.วัฒนานคร จ.สระแก้ว,00:00 น.,7.4,13.678299931465686,102.28500008583069
อรัญประเทศ,ต.ป่าไร่ อ.อรัญประเทศ จ.สระแก้ว,22:00 น.,0.4,13.699997637471801,102.58333146572113
บ้านปากคะยาง,ต.บ้านแก่ง อ.ศรีสัชนาลัย จ.สุโขทัย,00:00 น.,5.5,17.46932482276264,99.65100109577179
บ้านแม่แลบ,ต.แม่ลาน้อย อ.แม่ลาน้อย จ.แม่ฮ่องสอน,19:00 น.,0.5,18.37930921991803,97.8769987821579
อบต.ท่าแยก,ต.ท่าแยก อ.เมืองสระแก้ว จ.สระแก้ว,00:00 น.,21.6,13.907689234112915,102.09394633769989
ทต.โพทะเล,ต.โพทะเล อ.โพทะเล จ.พิจิตร,00:00 น.,17,16.093773752961166,100.26008784770966
เกาะสีชัง,ต.ท่าเทววงษ์ อ.เกาะสีชัง จ.ชลบุรี,22:00 น.,3.2,13.161668172600585,100.80194234848022
บ้านลำโชค,ต.บ้านแก่ง อ.ศรีสัชนาลัย จ.สุโขทัย,00:00 น.,0.5,17.44963354499241,99.60899770259857
บ้านแม่สุ,ต.แม่ลาหลวง อ.แม่ลาน้อย จ.แม่ฮ่องสอน,19:00 น.,0.5,18.481649254274878,97.90700197219849
บ้านบางหวาน,ต.กมลา อ.กะทู้ จ.ภูเก็ต,00:00 น.,55,7.942292146367634,98.29099774360657
บ้านร่องกล้า,ต.เนินเพิ่ม อ.นครไทย จ.พิษณุโลก,15:00 น.,16,16.98044726891171,101.02599799633026
บ้านเทพพนา,ต.นายางกลัก อ.เทพสถิต จ.ชัยภูมิ,15:00 น.,17,15.681303566302512,101.41100227832794
ฉะเชิงเทรา,ต.แปลงยาว อ.สนามชัยเขต จ.ฉะเชิงเทรา,16:00 น.,5.6,13.515558354856113,101.45833253860474
หน่วยศึกษาการพัฒนาการอนุรักษ์ต้นน้ำน้ำคาง (ดอยวาว),ต.ศรีภูมิ อ.ท่าวังผา จ.น่าน,00:00 น.,0.6,19.13900573802194,100.64089179039001
ศรีสัชนาลัย,ต.หาดเสี้ยว อ.ศรีสัชนาลัย จ.สุโขทัย,00:00 น.,9.8,17.517121550338416,99.75878298282623
บ้านหินลับ,ต.มวกเหล็ก อ.มวกเหล็ก จ.สระบุรี,15:00 น.,16,14.672585515840304,101.12699925899506
สะพานแม่น้ำน่าน บ้านเปียงก่อ,ต.ขุนน่าน อ.เฉลิมพระเกียรติ จ.น่าน,00:00 น.,10,19.432099655746182,101.15272164344788
บ้านวังประจัน,ต.วังประจัน อ.ควนโดน จ.สตูล,00:00 น.,23.5,6.754096598545849,100.14900147914886
คลองสำโรง บางเสาธง,ต.บางเสาธง อ.บางเสาธง จ.สมุทรปราการ,00:00 น.,13.6,13.589132309161357,100.80248951911926
บ้านน้ำจวง,ต.บ่อภาค อ.ชาติตระการ จ.พิษณุโลก,00:00 น.,1,17.438261989434718,100.67499876022339
บ้านหญ้าปล้อง,ต.คลองศก อ.พนม จ.สุราษฎร์ธานี,21:00 น.,59.5,8.902614394692183,98.5720020532608
ฝายจิตรมานี,ต.ทรายขาว อ.สอยดาว จ.จันทบุรี,00:00 น.,66.4,13.115493288601286,102.20316052436829
สุรินทร์,ต.ในเมือง อ.เมืองสุรินทร์ จ.สุรินทร์,19:00 น.,15.4,14.88333203516152,103.49999785423279
บ้านควนโต๊ะเหลง,ต.ควนโดน อ.ควนโดน จ.สตูล,00:00 น.,33,6.80066464048702,100.07791221141815
คลองพรหมโหด,ต.บ้านใหม่หนองไทร อ.อรัญประเทศ จ.สระแก้ว,00:00 น.,2.4,13.705839988268957,102.48168110847473
บ้านวังขอนงุ้น,ต.แม่สำ อ.ศรีสัชนาลัย จ.สุโขทัย,00:00 น.,22,17.639784074917838,99.68200206756592
