ชื่อสถานี,ที่ตั้ง,เวลา,ฝนล่าสุด (มม.)
สถานีบ้านดอนชัย,ต.แม่ทา อ.แม่ออน จ.เชียงใหม่ ,06:00 ,32.5
สถานีบ้านปงป่าป๋อ,ต.เสริมขวา อ.เสริมงาม จ.ลำปาง ,05:00 ,32
สถานีบ้านสะโทย,ต.วังสรรพรส อ.ขลุง จ.จันทบุรี ,06:00 ,31.5
สถานีอบต.บางปิด,ต.บางปิด อ.แหลมงอบ จ.ตราด ,06:00 ,31.2
สถานีอบต.นาคำไฮ,ต.นาคำไฮ อ.เมืองหนองบัวลำภู จ.หนองบัวลำภู ,06:00 ,31.2
สถานีหน่วยพิทักษ์อุทยานฯ ที่ นน.๖ (ถ้ำใหญ่น้ำหนาว),ต.หลักด่าน อ.น้ำหนาว จ.เพชรบูรณ์ ,06:00 ,31.2
สถานีบ้านซับสมบูรณ์,ต.วังข่อย อ.ไพศาลี จ.นครสวรรค์ ,05:00 ,31
สถานีบ้านขุนป๋วย,ต.แม่วิน อ.แม่วาง จ.เชียงใหม่ ,23:00 ,31
สถานีบ้านสามัคคีใหม่,ต.แม่ฟ้าหลวง อ.แม่ฟ้าหลวง จ.เชียงราย ,06:00 ,30
สถานีทต.พลิ้ว,ต.พลิ้ว อ.แหลมสิงห์ จ.จันทบุรี ,06:00 ,29.8
สถานีบ้านเสาแดง,ต.แจ่มหลวง อ.กัลยาณิวัฒนา จ.เชียงใหม่ ,06:00 ,29.5
สถานีทต.สังคม,ต.แก้งไก่ อ.สังคม จ.หนองคาย ,06:00 ,29.4
สถานีรพสต.บ้านโคกอุดม,ต.หนองกี่ อ.กบินทร์บุรี จ.ปราจีนบุรี ,06:00 ,29.4
สถานีบ้านมะม่วง,ต.นนทรีย์ อ.บ่อไร่ จ.ตราด ,05:00 ,29
สถานีอบต.บ้านหนองตางู,ต.หนองตางู อ.บรรพตพิสัย จ.นครสวรรค์ ,06:00 ,28.8
สถานีทต.ลานหอย,ต.ลานหอย อ.บ้านด่านลานหอย จ.สุโขทัย ,06:00 ,28.4
สถานีจันทบุรี,ต.วัดใหม่ อ.เมืองจันทบุรี จ.จันทบุรี ,04:00 ,28.3
สถานีอบต.บ้านกาด,ต.บ้านกาด อ.แม่วาง จ.เชียงใหม่ ,06:00 ,28.2
สถานีบ้านใหม่,ต.เวียงเหนือ อ.ปาย จ.แม่ฮ่องสอน ,06:00 ,28
สถานีเขื่อนสิรินธร,ต.นิคมสร้างตนเอง อ.สิรินธร จ.อุบลราชธานี ,05:00 ,28
สถานีอ.ตระการพืชผล,ต.ขุหลุ อ.ตระการพืชผล จ.อุบลราชธานี ,05:00 ,28
สถานีบ้านแม่ช่อฟ้า,ต.ทุ่งผึ้ง อ.แจ้ห่ม จ.ลำปาง ,05:00 ,28
สถานีบ้านเขาอ่าง,ต.มาบไพ อ.ขลุง จ.จันทบุรี ,06:00 ,28
สถานีอบต.ดงพระรามณ์,ต.ดงพระราม อ.เมืองปราจีนบุรี จ.ปราจีนบุรี ,06:00 ,28
สถานีบ้านปางต้นฆ้อง,ต.แม่อาย อ.แม่อาย จ.เชียงใหม่ ,06:00 ,27.5
สถานีบ้านท่าแพ,ต.เมือง อ.เมืองเลย จ.เลย ,06:00 ,27.5
สถานีอบต.ท่าเสา,ต.ท่าเสา อ.โพทะเล จ.พิจิตร ,06:00 ,27.2
สถานีบ้านแม่ตืน,ต.แม่ตืน อ.ลี้ จ.ลำพูน ,06:00 ,27
สถานีเทศบาลตำบลหอไกร,ต.หอไกร อ.บางมูลนาก จ.พิจิตร ,06:00 ,27
สถานีเขื่อนอุบลรัตน์,ต.เขื่อนอุบลรัตน์ อ.อุบลรัตน์ จ.ขอนแก่น ,05:00 ,27
สถานีนครพนม สกษ.,ต.ในเมือง อ.เมืองนครพนม จ.นครพนม ,04:00 ,27
สถานีอบต.หนองนาง,ต.หนองนาง อ.ท่าบ่อ จ.หนองคาย ,06:00 ,27
สถานีอุทยานแห่งชาติป่าหินงาม,ต.บ้านไร่ อ.เทพสถิต จ.ชัยภูมิ ,06:00 ,26.6
สถานีอบต.ป่าแฝก,ต.ป่าแฝก อ.พรเจริญ จ.บึงกาฬ ,06:00 ,26.6
สถานีบ้านเทพพนา,ต.นายางกลัก อ.เทพสถิต จ.ชัยภูมิ ,00:00 ,26.5
สถานีบ้านฝางแล้ง,ต.ขุนฝาง อ.เมืองอุตรดิตถ์ จ.อุตรดิตถ์ ,06:00 ,26.5
สถานีทต.ไชยปราการ,ต.ปงตำ อ.ไชยปราการ จ.เชียงใหม่ ,06:00 ,26.4
สถานีอบต.ด่านชุมพล,ต.ด่านชุมพล อ.บ่อไร่ จ.ตราด ,06:00 ,26.2
สถานีบ้านห้วยลาด,ต.หลักด่าน อ.น้ำหนาว จ.เพชรบูรณ์ ,05:00 ,26
สถานีบ้านนาหนุน 3,ต.แสนทอง อ.ท่าวังผา จ.น่าน ,06:00 ,26
สถานีบ้านเลยวังไสย์,ต.เลยวังไสย์ อ.ภูหลวง จ.เลย ,05:00 ,26
สถานีบ้านแม่ฮวก,ต.ไหล่หิน อ.เกาะคา จ.ลำปาง ,05:00 ,26
สถานีบ้านป่าเห่ว,ต.บ้านขอ อ.เมืองปาน จ.ลำปาง ,06:00 ,26
สถานีบ้านหนองคล้า,ต.ชำผักแพว อ.แก่งคอย จ.สระบุรี ,06:00 ,25.5
สถานีบ้านแม่นาจร*,ต.แม่นาจร อ.แม่แจ่ม จ.เชียงใหม่ ,05:00 ,25.5
สถานีบ้านตะบกเตี้ย,ต.ฉมัน อ.มะขาม จ.จันทบุรี ,06:00 ,25.5
สถานีที่ทำการอุทยานแห่งชาติเวียงโกศัย,ต.แม่เกิ๋ง อ.วังชิ้น จ.แพร่ ,06:00 ,25.4
สถานีอบต.เวียงตาล,ต.เวียงตาล อ.ห้างฉัตร จ.ลำปาง ,06:00 ,25.4
สถานีอบต.บึงสามพัน,ต.บึงสามพัน อ.บึงสามพัน จ.เพชรบูรณ์ ,06:00 ,25.2
สถานีบ้านในปง,ต.อ่าวตง อ.วังวิเศษ จ.ตรัง ,06:00 ,25
สถานีอบต.ทุ่งสมอ,ต.ทุ่งสมอ อ.เขาค้อ จ.เพชรบูรณ์ ,06:00 ,25
สถานีบ้านร่องกล้า,ต.เนินเพิ่ม อ.นครไทย จ.พิษณุโลก ,05:00 ,25
สถานีมุกดาหาร,ต.มุกดาหาร อ.เมืองมุกดาหาร จ.มุกดาหาร ,04:00 ,24.7
สถานีเมืองเลย,ต.ชัยพฤกษ์ อ.เมืองเลย จ.เลย ,06:00 ,24.6
