,ID,WMO_CODE,NAME_EN,Region,Latitude,Longitude,00Z,01Z,02Z,03Z,04Z,05Z,06Z,07Z,08Z,09Z,10Z,11Z,12Z,13Z,14Z,15Z,16Z,17Z,18Z,19Z,20Z,21Z,22Z,23Z,sum,year,month,day
0,1,300,Mae Hong Son,Northern,19.29897222,97.97577778,0.4200418293476105,0.11621438711881638,0.25704696774482727,-,0.051929160952568054,0.11621438711881638,0.25704696774482727,-,0.051929160952568054,-,0.16489459574222565,-,-,-,-,-,-,-,-,-,-,-,-,-,2.2754011154174805,2021,09,09
1,2,325,Mae Sariang,Northern,18.16666667,97.93333333,11.499051094055176,4.227986812591553,0.18223406374454498,-,-,4.227986812591553,0.18223406374454498,-,-,0.6532925367355347,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43.97088623046875,2021,09,09
2,3,303,Chiang Rai,Northern,19.96138889,99.88138889,-,-,0.13129033148288727,-,-,-,0.13129033148288727,-,-,-,-,0.06301740556955338,0.07527484744787216,0.03806260973215103,-,-,-,-,-,0.0390135832130909,-,-,-,-,0.4779491424560547,2021,09,09
3,4,304,Chiang Rai (1),Northern,19.87083333,99.78277778,-,-,0.0714469701051712,-,-,-,0.0714469701051712,-,-,-,20.776777267456055,0.10672003775835037,0.14873436093330383,0.7430809140205383,0.3134707808494568,-,-,1.1938565969467163,-,-,-,-,-,-,23.425535202026367,2021,09,09
4,5,310,Phayao,Northern,19.13333333,99.9,-,-,-,-,-,-,-,-,-,0.09606747329235077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.09606747329235077,2021,09,09
5,6,327,Chiang Mai,Northern,18.79,98.97694444,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3178446292877197,1.3338485956192017,0.3524474501609802,0.03852976858615875,0.06933020800352097,0.061464227735996246,-,2.1734650135040283,2021,09,09
6,7,302,Doi Angkhlang,Northern,19.93138889,99.04833333,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5420752167701721,0.16229486465454102,-,-,-,-,-,-,-,-,-,0.7043700814247131,2021,09,09
7,8,331,Nan,Northern,18.77972222,100.7777778,-,0.13256050646305084,0.08439788967370987,-,0.10092974454164505,0.13256050646305084,0.08439788967370987,-,0.10092974454164505,-,-,-,-,-,-,-,-,-,0.17858126759529114,-,-,-,-,-,0.814357578754425,2021,09,09
8,9,333,Nan (1),Northern,18.86666667,100.75,-,0.1373661905527115,0.07687854766845703,-,-,0.1373661905527115,0.07687854766845703,-,-,0.03920966014266014,-,-,2.0812530517578125,-,0.2567313313484192,-,-,-,-,-,-,-,-,0.06961902230978012,2.87530255317688,2021,09,09
9,10,315,Tha Wang Pha (2),Northern,19.11055556,100.8025,-,-,-,-,-,-,-,-,-,0.06296724826097488,0.33420902490615845,0.10969477146863937,0.1488177329301834,-,1.4059048891067505,-,-,-,-,-,-,-,-,-,2.061593532562256,2021,09,09
10,11,307,Thung Chang (2),Northern,19.41194444,100.8835278,-,-,-,-,-,-,-,-,-,-,-,0.03993215411901474,-,-,0.8701043128967285,-,2.3578155040740967,1.8626593351364136,-,-,-,-,-,-,5.130511283874512,2021,09,09
11,12,329,Lamphun,Northern,18.56666667,99.03333333,-,-,-,-,-,-,-,-,-,-,-,-,0.13118264079093933,-,0.24304571747779846,-,-,0.33250191807746887,2.200770854949951,0.4162871241569519,0.06246205046772957,0.04058648645877838,0.03840602934360504,-,3.465243101119995,2021,09,09
12,13,328,Lampang,Northern,18.33333333,99.51666667,0.7267754077911377,0.2145608365535736,-,-,-,0.2145608365535736,-,-,-,-,0.16813986003398895,-,-,0.034287430346012115,-,0.12501567602157593,3.579165458679199,2.9060420989990234,-,-,-,-,-,0.0730115994811058,9.495109558105469,2021,09,09
13,14,334,Lampang (1),Northern,18.31666667,99.28333333,-,0.23605109751224518,0.19901631772518158,0.43659666180610657,0.22180455923080444,0.23605109751224518,0.19901631772518158,0.43659666180610657,0.22180455923080444,-,-,0.08160757273435593,-,-,0.06936360150575638,-,0.15813469886779785,2.186243772506714,2.0931997299194336,0.13554438948631287,0.04714120179414749,-,-,-,6.95817232131958,2021,09,09
14,15,324,Thoen,Northern,17.63661111,99.24475,0.8179624080657959,0.6051327586174011,0.40264686942100525,-,-,0.6051327586174011,0.40264686942100525,-,-,0.6151876449584961,-,-,-,-,-,-,-,-,0.129428431391716,0.18513187766075134,0.16152487695217133,0.08692572265863419,0.08906242996454239,-,5.7367072105407715,2021,09,09
15,16,330,Phrae,Northern,18.16666667,100.1666667,-,-,-,-,-,-,-,-,-,-,-,-,-,0.08269786834716797,-,0.31602418422698975,-,-,-,-,-,-,-,-,0.3987220525741577,2021,09,09
16,17,351,Uttaradit,Northern,17.61666667,100.1000028,1.8518434762954712,1.1127170324325562,0.4115234613418579,0.22817829251289368,-,1.1127170324325562,0.4115234613418579,0.22817829251289368,-,-,1.6791324615478516,-,-,-,-,0.7724777460098267,0.21556434035301208,-,-,0.1288716197013855,-,-,-,-,11.856413841247559,2021,09,09
17,18,372,Sukhothai,Northern,17.10611111,99.8,1.5952093601226807,1.9302821159362793,2.4420244693756104,1.2058004140853882,2.40814208984375,1.9302821159362793,2.4420244693756104,1.2058004140853882,2.40814208984375,1.1945973634719849,-,-,-,-,-,0.4605160653591156,11.497207641601562,11.242087364196777,3.795062303543091,2.280496120452881,0.10250178724527359,0.3187878727912903,-,0.22922588884830475,51.87860870361328,2021,09,09
18,19,373,Si Samrong (1),Northern,17.77361111,99.24944444,1.3742706775665283,0.6061179041862488,0.3045932948589325,2.1740033626556396,-,0.6061179041862488,0.3045932948589325,2.1740033626556396,-,0.25327378511428833,-,-,-,-,-,-,-,-,0.12068761885166168,-,0.22047525644302368,0.08584026247262955,0.08033978939056396,-,11.052858352661133,2021,09,09
19,20,377,Bhumibol Dam,Northern,17.24391667,99.00252778,3.4415290355682373,0.33950504660606384,0.2400389164686203,0.20078390836715698,0.35408079624176025,0.33950504660606384,0.2400389164686203,0.20078390836715698,0.35408079624176025,0.8451895713806152,1.8527932167053223,1.9267828464508057,-,-,-,-,-,-,0.1355358511209488,-,0.3181834816932678,0.13745835423469543,0.13318412005901337,-,17.942533493041992,2021,09,09
20,21,376,Tak,Northern,16.87836111,99.14336111,2.8631930351257324,1.7179871797561646,1.6764930486679077,3.54024338722229,-,1.7179871797561646,1.6764930486679077,3.54024338722229,-,0.62416672706604,-,-,-,-,-,-,-,-,0.1537778675556183,-,5.5892767906188965,4.862399101257324,0.9722918272018433,0.3480440378189087,35.00898361206055,2021,09,09
21,22,375,Mae Sot,Northern,16.65916667,98.55086111,1.1031174659729004,2.9923720359802246,2.0506536960601807,3.8659753799438477,4.5823283195495605,2.9923720359802246,2.0506536960601807,3.8659753799438477,4.5823283195495605,4.670176029205322,0.13987420499324799,1.681135654449463,1.2240132093429565,-,-,-,-,-,-,-,-,-,1.3977192640304565,0.13160300254821777,39.536529541015625,2021,09,09
22,23,385,Umphang (2),Northern,16.02472222,98.86444444,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2542872726917267,0.10764731466770172,-,0.35140013694763184,0.9009985327720642,-,1.6143332719802856,2021,09,09
23,24,387,Doi Muser (1),Northern,16.75,98.93333611,4.200626373291016,1.5147463083267212,1.513416051864624,6.687399387359619,1.2342063188552856,1.5147463083267212,1.513416051864624,6.687399387359619,1.2342063188552856,0.152227982878685,0.8593896627426147,-,-,-,-,-,-,-,0.17055538296699524,0.3668360710144043,2.241478204727173,4.906395435333252,1.6020147800445557,3.157371759414673,47.95768737792969,2021,09,09
