,ID,WMO_CODE,NAME_EN,Region,Latitude,Longitude,00Z,01Z,02Z,03Z,04Z,05Z,06Z,07Z,08Z,09Z,10Z,11Z,12Z,13Z,14Z,15Z,16Z,17Z,18Z,19Z,20Z,21Z,22Z,23Z,sum,year,month,day
0,1,300,Mae Hong Son,Northern,19.29897222,97.97577778,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,09,22
1,2,325,Mae Sariang,Northern,18.16666667,97.93333333,0.0857234075665474,0.17192530632019043,1.4503886699676514,0.18304292857646942,0.23566223680973053,0.17192530632019043,1.4503886699676514,0.18304292857646942,0.23566223680973053,0.05160671845078468,-,-,-,-,-,-,0.6409868597984314,1.0358678102493286,-,-,-,-,-,0.2617778182029724,6.329448223114014,2021,09,22
2,3,303,Chiang Rai,Northern,19.96138889,99.88138889,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0422087162733078,-,0.0422087162733078,2021,09,22
3,4,304,Chiang Rai (1),Northern,19.87083333,99.78277778,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.1765882968902588,1.4287798404693604,0.23642584681510925,0.07521849870681763,0.2148818075656891,-,3.13189435005188,2021,09,22
4,5,310,Phayao,Northern,19.13333333,99.9,0.14880330860614777,0.17790301144123077,-,-,-,0.17790301144123077,-,-,-,-,-,-,1.6627614498138428,-,-,-,0.16715608537197113,1.5751746892929077,-,-,-,-,-,-,4.207308292388916,2021,09,22
5,6,327,Chiang Mai,Northern,18.79,98.97694444,-,-,0.14778824150562286,-,-,-,0.14778824150562286,-,-,-,-,-,-,0.29060840606689453,0.06018488109111786,-,1.2240852117538452,2.132694959640503,-,-,-,-,-,-,4.00314998626709,2021,09,22
6,7,302,Doi Angkhlang,Northern,19.93138889,99.04833333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3106020987033844,0.20638109743595123,0.07582316547632217,-,-,0.5928063988685608,2021,09,22
7,8,331,Nan,Northern,18.77972222,100.7777778,0.228541299700737,0.2066095620393753,-,-,-,0.2066095620393753,-,-,-,-,0.0343744121491909,0.03243521228432655,-,-,-,-,-,-,-,-,-,-,-,0.33833885192871094,1.5039914846420288,2021,09,22
8,9,333,Nan (1),Northern,18.86666667,100.75,0.11769573390483856,0.045243483036756516,-,-,-,0.045243483036756516,-,-,-,-,-,0.025683775544166565,-,0.21145384013652802,1.4545447826385498,-,-,-,-,-,-,-,-,-,2.13525652885437,2021,09,22
9,10,315,Tha Wang Pha (2),Northern,19.11055556,100.8025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.05631376802921295,-,-,-,-,-,-,0.05631376802921295,2021,09,22
10,11,307,Thung Chang (2),Northern,19.41194444,100.8835278,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4558587074279785,1.3179247379302979,-,-,0.2225295454263687,0.12510699033737183,0.20456716418266296,0.044510819017887115,0.0554170124232769,-,-,2.425915002822876,2021,09,22
11,12,329,Lamphun,Northern,18.56666667,99.03333333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.516045570373535,3.029726266860962,-,-,-,-,-,0.09427797794342041,7.640049457550049,2021,09,22
12,13,328,Lampang,Northern,18.33333333,99.51666667,-,-,-,-,-,-,-,-,-,-,0.018897388130426407,0.0274468082934618,-,0.5344181656837463,-,-,-,-,0.2880890667438507,0.039578910917043686,-,-,-,-,0.9084303379058838,2021,09,22
13,14,334,Lampang (1),Northern,18.31666667,99.28333333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.368692398071289,3.986631393432617,0.7107535004615784,-,-,0.09256239235401154,1.0244107246398926,0.3507590889930725,-,-,8.533809661865234,2021,09,22
14,15,324,Thoen,Northern,17.63661111,99.24475,4.64141845703125,4.081351280212402,-,-,-,4.081351280212402,-,-,-,-,-,-,-,0.13611271977424622,-,-,-,-,3.0566980838775635,9.095488548278809,8.660676002502441,5.119057655334473,0.22261743247509003,0.14861951768398285,48.52622985839844,2021,09,22
15,16,330,Phrae,Northern,18.16666667,100.1666667,0.13806253671646118,0.0420268177986145,-,-,-,0.0420268177986145,-,-,-,-,-,-,1.530509352684021,-,-,-,-,-,-,-,-,-,-,-,2.028750419616699,2021,09,22
16,17,351,Uttaradit,Northern,17.61666667,100.1000028,0.049945201724767685,0.05540928617119789,-,-,-,0.05540928617119789,-,-,-,-,0.8548749685287476,-,-,-,-,2.6236214637756348,0.22464191913604736,2.078113317489624,-,-,-,-,-,-,6.041906356811523,2021,09,22
