,ID,WMO_CODE,NAME_EN,Region,Latitude,Longitude,00Z,01Z,02Z,03Z,04Z,05Z,06Z,07Z,08Z,10Z,11Z,12Z,13Z,14Z,15Z,16Z,17Z,18Z,19Z,20Z,21Z,22Z,SUM,year,month,day
23,24,387,Doi Muser (1),Northern,16.75,98.93333611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,06,02
24,25,378,Phitsanulok,Northern,16.79622222,100.2759444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.6,2020,06,02
25,26,374,Lom Sak (2),Northern,16.77363889,101.2494722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2020,06,02
26,27,379,Phetchabun,Northern,16.43333611,101.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,06,02
27,28,413,Wichian Buri (2),Northern,15.65694444,101.1083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,2.12,0.85,2.37,2.62,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,2020,06,02
28,29,380,Kamphaeng Phet,Northern,16.48680556,99.52697222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.57,2020,06,02
29,30,386,Phicit (1),Northern,16.33861111,100.3671111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,06,02
30,31,352,Nong Khai,Northeastern,17.86716667,102.7330278,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2020,06,02
31,32,353,Loei,Northeastern,17.45,101.7333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,1.15,0.55,0.0,0.0,0.0,0.0,0.0,0.25,0.45,0.0,0.0,0.0,0.0,3.05,2020,06,02
32,33,350,Loei (1),Northeastern,17.4,101.7333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.25,0.35,0.85,0.1,0.0,0.0,0.0,0.0,0.1,0.65,0.0,0.0,0.0,0.0,3.25,2020,06,02
33,34,354,Udon Thani,Northeastern,17.38333333,102.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,06,02
34,35,357,Nakhon Phanom,Northeastern,17.41083333,104.7825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,06,02
35,36,358,Nakhon Phanom (1),Northeastern,17.44305556,104.7736111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,06,02
36,37,356,Sakon Nakhon,Northeastern,17.15000278,104.1333361,0.0,0.0,0.1,0.1,0.1,3.12,0.25,0.25,0.1,0.1,0.1,0.0,0.1,0.25,0.45,0.1,0.1,0.25,0.1,0.35,0.1,0.35,6.369999994039534,2020,06,02
37,38,355,Sakon Nakhon (1),Northeastern,17.12502778,104.061,0.0,0.0,0.0,0.0,0.0,7.75,0.55,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,2020,06,02
38,39,360,Nong Bua Lumphu,Northeastern,17.2325,102.4294444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.95,2020,06,02
39,40,383,Mukdahan,Northeastern,16.54955556,104.7308889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,06,02
40,41,381,Khon Kaen,Northeastern,16.46111111,102.7897222,0.0,0.0,0.0,0.0,0.0,0.1,2.62,0.0,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.84,2020,06,02
41,42,384,Tha Pra (1),Northeastern,16.333,102.8166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37,4.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.24,2020,06,02
42,43,382,Kosum Phisai (2),Northeastern,16.24722222,103.0680556,0.0,6.75,0.0,0.0,0.0,0.1,1.15,3.12,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.77,2020,06,02
43,44,390,Kamalasai (2),Northeastern,16.3325,103.5883333,0.0,0.0,0.0,0.0,0.1,0.0,4.87,1.75,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.84,2020,06,02
44,45,405,Roi Et,Northeastern,16.05000028,103.68333359999998,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2020,06,02
45,46,404,Roi Et (1),Northeastern,16.07322222,103.6084444,0.0,0.0,0.0,0.0,0.0,0.0,21.5,0.0,0.65,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.25,2020,06,02
46,47,403,Chaiyaphum,Northeastern,15.80000028,102.0333336,0.0,0.0,0.0,0.0,0.0,0.0,2.62,0.0,2.12,1.85,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.140000000000001,2020,06,02
47,48,407,Ubon Ratchathani,Northeastern,15.25000278,104.8666694,6.25,1.35,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,2020,06,02
48,49,408,Ubon Ratchathani (1),Northeastern,15.24072222,105.01966670000002,1.04,0.65,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,2020,06,02
