,ID,WMO_CODE,NAME_EN,Region,Latitude,Longitude,00Z,01Z,02Z,03Z,04Z,05Z,06Z,08Z,09Z,11Z,12Z,13Z,14Z,15Z,17Z,18Z,19Z,20Z,21Z,22Z,23Z,SUM,year,month,day
21,22,375,Mae Sot,Northern,16.65916667,98.55086111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.1,0.0,0.0,0.0,0.0,0.0,1.95,0.1,3.5000000014901165,2020,05,29
22,23,385,Umphang (2),Northern,16.02472222,98.86444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37,2020,05,29
23,24,387,Doi Muser (1),Northern,16.75,98.93333611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0.0,1.95,2020,05,29
24,25,378,Phitsanulok,Northern,16.79622222,100.2759444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,5.12,2020,05,29
25,26,374,Lom Sak (2),Northern,16.77363889,101.2494722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87,2.12,0.0,0.0,0.0,0.0,5.99,2020,05,29
26,27,379,Phetchabun,Northern,16.43333611,101.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.45,1.35,9.25,1.95,1.15,0.0,0.0,0.0,26.649999999999995,2020,05,29
27,28,413,Wichian Buri (2),Northern,15.65694444,101.1083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,29
28,29,380,Kamphaeng Phet,Northern,16.48680556,99.52697222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,2020,05,29
29,30,386,Phicit (1),Northern,16.33861111,100.3671111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,29
30,31,352,Nong Khai,Northeastern,17.86716667,102.7330278,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.75,0.95,3.12,3.12,0.65,0.0,15.04,2020,05,29
31,32,353,Loei,Northeastern,17.45,101.7333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,8.25,9.75,0.0,0.75,0.0,0.0,0.0,10.5,0.0,0.25,30.35,2020,05,29
32,33,350,Loei (1),Northeastern,17.4,101.7333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,0.0,6.25,6.75,0.75,0.0,0.0,0.0,0.0,4.12,3.87,0.0,0.0,86.24000000000001,2020,05,29
33,34,354,Udon Thani,Northeastern,17.38333333,102.8,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,3.87,0.0,0.0,0.0,0.0,0.0,20.82,2020,05,29
34,35,357,Nakhon Phanom,Northeastern,17.41083333,104.7825,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.95,2.12,1.25,6.54,2020,05,29
35,36,358,Nakhon Phanom (1),Northeastern,17.44305556,104.7736111,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.85,1.35,4.4900000238418585,2020,05,29
36,37,356,Sakon Nakhon,Northeastern,17.15000278,104.1333361,0.55,4.37,0.55,0.25,0.1,2.12,0.85,0.95,1.95,1.15,0.55,0.45,0.95,0.25,0.95,0.25,3.37,6.75,2.37,2.62,0.95,32.29999998807908,2020,05,29
